scope,pcap_path,packet_index,timestamp,severity,issue_code,detail,parse_status,protocol_name
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/ARP_Spoofing_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 3301,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/ARP_Spoofing_test.pcap,,,warning,file:unsupported_present,unsupported packets: 1,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 745,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 15,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,,,warning,file:unsupported_present,unsupported packets: 60,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Connect_Flood_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 2117561,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Connect_Flood_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 12196,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Publish_Flood_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 319197,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Publish_Flood_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 803,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Publish_Flood_test.pcap,,,warning,file:unsupported_present,unsupported packets: 1,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Connect_Flood_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 81169,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Connect_Flood_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 285,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Connect_Flood_test.pcap,,,warning,file:unsupported_present,unsupported packets: 2,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Publish_Flood_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 314211,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Publish_Flood_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 2128,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Publish_Flood_test.pcap,,,warning,file:unsupported_present,unsupported packets: 1,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-Malformed_Data_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 4838,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-OS_Scan_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 14028,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-OS_Scan_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 13,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-OS_Scan_test.pcap,,,warning,file:unsupported_present,unsupported packets: 1,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-Ping_Sweep_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 9,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-Port_Scan_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 108369,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-Port_Scan_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 112,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 1203,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 533,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,,,warning,file:unsupported_present,unsupported packets: 1,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP1_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 7701701,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP1_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 3717,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP1_test.pcap,,,warning,file:unsupported_present,unsupported packets: 1,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP2_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 10022437,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP2_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 2970,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP2_test.pcap,,,warning,file:unsupported_present,unsupported packets: 3,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-SYN_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 8832728,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-SYN_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 35104,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-SYN_test.pcap,,,warning,file:unsupported_present,unsupported packets: 7,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-TCP_test.pcap,,,warning,file:timestamp_duplicate,duplicate adjacent timestamps: 9162649,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-TCP_test.pcap,,,warning,file:timestamp_reversal,negative timestamp deltas: 17357,,
file,data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-TCP_test.pcap,,,warning,file:unsupported_present,unsupported packets: 7,,
