pcap_path,packet_count,adjacent_delta_count,positive_delta_count,duplicate_delta_count,negative_delta_count,duplicate_ratio,negative_delta_ratio,negative_delta_min_magnitude,negative_delta_max_magnitude,negative_delta_mean_magnitude,negative_delta_p50_magnitude,negative_delta_p95_magnitude,negative_delta_p99_magnitude,positive_delta_min,positive_delta_max,positive_delta_mean,positive_delta_p50,positive_delta_p95,positive_delta_p99,positive_percentile_method,positive_percentile_sample_size,negative_run_count,negative_run_max_length,negative_run_mean_length,probe_strategy_version
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,1935680,1935679,1890766,43881,1032,0.022669564530069294,0.000533146249972232,9.5367431640625e-07,12.82179594039917,0.012538050958352495,9.799003601074219e-05,0.0002634048461914062,0.00036169767379760735,9.5367431640625e-07,2.9986469745635986,0.04199728918152884,5.1021575927734375e-05,0.2950551152229309,0.9326233077049249,reservoir_n100000_seed42,100000,1032,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,377536,377535,376775,745,15,0.0019733269763068323,3.973141563033891e-05,9.5367431640625e-07,0.00016188621520996094,5.0179163614908855e-05,2.9087066650390625e-05,0.00013818740844726558,0.00015714645385742185,9.5367431640625e-07,1.6651930809020996,0.03770364901515011,7.82012939453125e-05,0.24462367296218862,0.9252433085441573,reservoir_n100000_seed42,100000,15,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,1981055,1981054,1307008,673645,401,0.3400437342949763,0.00020241750098684843,9.5367431640625e-07,0.00015282630920410156,4.53768228354894e-06,3.0994415283203125e-06,6.9141387939453125e-06,5.1021575927734375e-05,9.5367431640625e-07,513796.7663040161,1.1990677441419522,1.811981201171875e-05,0.9986123085021973,1.0015599727630615,reservoir_n100000_seed42,100000,401,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/M1T_Camera/M1T_Camera_WAN_RECORDING.pcap,16442,16441,13508,2933,0,0.1783954747278146,0.0,,,,,,,9.5367431640625e-07,62.42655301094055,0.027110527085594287,0.012970685958862305,0.057416212558746335,0.08709035158157354,exact,13508,0,0,,phase1b3_v1
data/raw/WiFI_and_MQTT/profiling/PCAP/Idle/Idle.pcap,328923,328922,308599,20322,1,0.06178364475468348,3.0402344628817774e-06,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,9.5367431640625e-07,39602.18191409111,0.4316266709032821,0.08496201038360596,1.4240816473960873,2.544311306476587,reservoir_n100000_seed42,100000,1,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,17295946,17295945,8654538,8583988,57419,0.49630060687635164,0.00331979547807304,9.5367431640625e-07,8.797645568847656e-05,3.450992565427085e-06,1.9073486328125e-06,1.2874603271484375e-05,1.7881393432617188e-05,9.5367431640625e-07,0.5374279022216797,6.190589531498755e-05,2.1457672119140625e-06,0.000247955322265625,0.001192810535430907,reservoir_n100000_seed42,100000,57419,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,10366,10365,8629,1203,533,0.11606367583212736,0.05142305836951278,9.5367431640625e-07,0.0003578662872314453,8.95782885810895e-05,7.390975952148438e-05,0.00022878646850585922,0.00031954765319824164,9.5367431640625e-07,2.5602009296417236,0.04501607001124811,0.002125978469848633,0.20892705917358398,0.6250360870361322,exact,8629,533,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,9854644,9854643,5842772,3938301,73570,0.3996391345683451,0.00746551650830984,9.5367431640625e-07,7.796287536621094e-05,1.8782276684002852e-06,9.5367431640625e-07,5.0067901611328125e-06,2.8133392333984375e-05,9.5367431640625e-07,0.41281819343566895,7.571773538722061e-05,2.1457672119140625e-06,0.00032591819763183594,0.00150919675827026,reservoir_n100000_seed42,100000,73570,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-SYN2_train.pcap,20359731,20359730,9802336,10526934,30460,0.5170468370651281,0.0014960905670163601,9.5367431640625e-07,0.00029397010803222656,3.9481287008825294e-06,2.86102294921875e-06,8.141994476317839e-06,2.002716064453125e-05,9.5367431640625e-07,1199.6716330051422,0.00016340750532637999,1.9073486328125e-06,0.0001728534698486328,0.0007858300209045398,reservoir_n100000_seed42,100000,30460,1,1.0,phase1b3_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,19475470,19475469,9091754,10376201,7514,0.5327831129509641,0.00038581869324944115,9.5367431640625e-07,5.984306335449219e-05,3.2433366915124322e-06,1.1920928955078125e-06,1.6927719116210938e-05,2.09808349609375e-05,9.5367431640625e-07,0.24917888641357422,3.106371625070403e-05,1.1920928955078125e-06,0.0001308917999267578,0.0006079697608947741,reservoir_n100000_seed42,100000,7514,1,1.0,phase1b3_v1
