pcap_path,packet_index_previous,packet_index_current,previous_timestamp,current_timestamp,delta_seconds,delta_magnitude_seconds
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9190,9191,1694615194.750742,1694615194.750682,-5.984306335449219e-05,5.984306335449219e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9192,9193,1694615194.750784,1694615194.750682,-0.00010180473327636719,0.00010180473327636719
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9194,9195,1694615194.750844,1694615194.750683,-0.0001609325408935547,0.0001609325408935547
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9198,9199,1694615194.751216,1694615194.751127,-8.893013000488281e-05,8.893013000488281e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9202,9203,1694615194.751631,1694615194.751533,-9.799003601074219e-05,9.799003601074219e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9213,9214,1694615195.753177,1694615195.75304,-0.00013685226440429688,0.00013685226440429688
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9215,9216,1694615195.753246,1694615195.75304,-0.00020599365234375,0.00020599365234375
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9219,9220,1694615195.75349,1694615195.753426,-6.389617919921875e-05,6.389617919921875e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9240,9241,1694615196.754285,1694615196.754195,-9.012222290039062e-05,9.012222290039062e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,9251,9252,1694615197.75234,1694615197.752203,-0.00013709068298339844,0.00013709068298339844
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,72979,72980,1694696219.41299,1694696219.412986,-4.0531158447265625e-06,4.0531158447265625e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,81705,81706,1694696639.430889,1694696639.430883,-5.9604644775390625e-06,5.9604644775390625e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,100787,100788,1694697558.450073,1694697558.449947,-0.000125885009765625,0.000125885009765625
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,100789,100790,1694697558.450109,1694697558.449947,-0.00016188621520996094,0.00016188621520996094
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,100795,100796,1694697558.450571,1694697558.45054,-3.0994415283203125e-05,3.0994415283203125e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,100797,100798,1694697558.450601,1694697558.450541,-6.008148193359375e-05,6.008148193359375e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,113935,113936,1694698199.444006,1694698199.443999,-6.9141387939453125e-06,6.9141387939453125e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,257198,257199,1694704979.474644,1694704979.47464,-4.0531158447265625e-06,4.0531158447265625e-06
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,274390,274391,1694705751.472976,1694705751.472914,-6.198883056640625e-05,6.198883056640625e-05
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,274392,274393,1694705751.473023,1694705751.472915,-0.00010800361633300781,0.00010800361633300781
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,666,667,1699286956.975218,1699286956.975216,-2.1457672119140625e-06,2.1457672119140625e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,683,684,1699286956.975609,1699286956.975607,-2.1457672119140625e-06,2.1457672119140625e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,699,700,1699286956.975928,1699286956.975924,-4.0531158447265625e-06,4.0531158447265625e-06
data/raw/WiFI_and_MQTT/profiling/PCAP/Broker/ActiveBroker.pcap,5216,5217,1699287196.977772,1699287196.977765,-6.9141387939453125e-06,6.9141387939453125e-06
