pcap_path,example_kind,packet_index_previous,packet_index_current,previous_timestamp,current_timestamp,delta_seconds,delta_magnitude_seconds
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9190,9191,1694615194.750742,1694615194.750682,-5.984306335449219e-05,5.984306335449219e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9192,9193,1694615194.750784,1694615194.750682,-0.00010180473327636719,0.00010180473327636719
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9194,9195,1694615194.750844,1694615194.750683,-0.0001609325408935547,0.0001609325408935547
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9198,9199,1694615194.751216,1694615194.751127,-8.893013000488281e-05,8.893013000488281e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9202,9203,1694615194.751631,1694615194.751533,-9.799003601074219e-05,9.799003601074219e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9213,9214,1694615195.753177,1694615195.75304,-0.00013685226440429688,0.00013685226440429688
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9215,9216,1694615195.753246,1694615195.75304,-0.00020599365234375,0.00020599365234375
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9219,9220,1694615195.75349,1694615195.753426,-6.389617919921875e-05,6.389617919921875e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9240,9241,1694615196.754285,1694615196.754195,-9.012222290039062e-05,9.012222290039062e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,first,9251,9252,1694615197.75234,1694615197.752203,-0.00013709068298339844,0.00013709068298339844
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,22224,22225,1694615672.767154,1694615659.945358,-12.82179594039917,12.82179594039917
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,15970,15971,1694615428.758716,1694615428.758212,-0.0005040168762207031,0.0005040168762207031
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,10802,10803,1694615242.749811,1694615242.749367,-0.0004439353942871094,0.0004439353942871094
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,10800,10801,1694615242.749781,1694615242.749366,-0.00041484832763671875,0.00041484832763671875
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,15968,15969,1694615428.758614,1694615428.758211,-0.0004031658172607422,0.0004031658172607422
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,9285,9286,1694615198.752127,1694615198.751736,-0.0003910064697265625,0.0003910064697265625
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,15627,15628,1694615417.753501,1694615417.753116,-0.00038504600524902344,0.00038504600524902344
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,16614,16615,1694615453.759514,1694615453.759139,-0.0003750324249267578,0.0003750324249267578
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,9283,9284,1694615198.752103,1694615198.751736,-0.00036716461181640625,0.00036716461181640625
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,largest,15982,15983,1694615428.759237,1694615428.758872,-0.0003650188446044922,0.0003650188446044922
