scope,group,pcap_path,pcap_id,feature,window_count,nonzero_count,nonzero_rate
group,profiling benign,,,arp_request_ratio,133643,16583,0.12408431418031622
group,profiling benign,,,arp_reply_ratio,133643,15303,0.1145065585178423
group,profiling benign,,,arp_probe_ratio,133643,23,0.00017210029706007796
group,profiling benign,,,arp_gratuitous_ratio,133643,1502,0.011238897660184223
group,profiling benign,,,arp_sender_ip_conflict_count,133643,0,0.0
group,profiling benign,,,arp_sender_ip_conflict_ratio,133643,0,0.0
group,profiling benign,,,arp_max_macs_per_sender_ip,133643,19681,0.1472654759321476
group,profiling benign,,,arp_mapping_change_count,133643,0,0.0
group,profiling benign,,,arp_eth_src_sha_mismatch_ratio,133643,0,0.0
group,profiling benign,,,arp_unique_sender_ip_count,133643,19681,0.1472654759321476
group,profiling benign,,,arp_unique_sender_mac_count,133643,19681,0.1472654759321476
group,profiling benign,,,arp_ratio,133643,19684,0.14728792379698152
group,publisher benign,,,arp_request_ratio,77427,8479,0.10950960259341057
group,publisher benign,,,arp_reply_ratio,77427,8936,0.11541193640461338
group,publisher benign,,,arp_probe_ratio,77427,13,0.00016790008653312153
group,publisher benign,,,arp_gratuitous_ratio,77427,263,0.003396747904477766
group,publisher benign,,,arp_sender_ip_conflict_count,77427,5,6.457695635889289e-05
group,publisher benign,,,arp_sender_ip_conflict_ratio,77427,5,6.457695635889289e-05
group,publisher benign,,,arp_max_macs_per_sender_ip,77427,10227,0.13208570653647952
group,publisher benign,,,arp_mapping_change_count,77427,5,6.457695635889289e-05
group,publisher benign,,,arp_eth_src_sha_mismatch_ratio,77427,0,0.0
group,publisher benign,,,arp_unique_sender_ip_count,77427,10227,0.13208570653647952
group,publisher benign,,,arp_unique_sender_mac_count,77427,10227,0.13208570653647952
group,publisher benign,,,arp_ratio,77427,10234,0.13217611427538198
group,spoofing,,,arp_request_ratio,6423,424,0.06601276661995951
group,spoofing,,,arp_reply_ratio,6423,449,0.06990502880274015
group,spoofing,,,arp_probe_ratio,6423,0,0.0
group,spoofing,,,arp_gratuitous_ratio,6423,14,0.002179666822357154
group,spoofing,,,arp_sender_ip_conflict_count,6423,7,0.001089833411178577
group,spoofing,,,arp_sender_ip_conflict_ratio,6423,7,0.001089833411178577
group,spoofing,,,arp_max_macs_per_sender_ip,6423,610,0.09497119725984743
group,spoofing,,,arp_mapping_change_count,6423,7,0.001089833411178577
group,spoofing,,,arp_eth_src_sha_mismatch_ratio,6423,0,0.0
group,spoofing,,,arp_unique_sender_ip_count,6423,610,0.09497119725984743
group,spoofing,,,arp_unique_sender_mac_count,6423,610,0.09497119725984743
group,spoofing,,,arp_ratio,6423,610,0.09497119725984743
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_request_ratio,6423,424,0.06601276661995951
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_reply_ratio,6423,449,0.06990502880274015
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_probe_ratio,6423,0,0.0
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_gratuitous_ratio,6423,14,0.002179666822357154
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_sender_ip_conflict_count,6423,7,0.001089833411178577
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_sender_ip_conflict_ratio,6423,7,0.001089833411178577
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_max_macs_per_sender_ip,6423,610,0.09497119725984743
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_mapping_change_count,6423,7,0.001089833411178577
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_eth_src_sha_mismatch_ratio,6423,0,0.0
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_unique_sender_ip_count,6423,610,0.09497119725984743
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_unique_sender_mac_count,6423,610,0.09497119725984743
pcap,spoofing,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,arp_ratio,6423,610,0.09497119725984743
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_request_ratio,41622,7118,0.1710153284320792
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_reply_ratio,41622,5927,0.1424006535005526
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_probe_ratio,41622,20,0.0004805151122002787
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_gratuitous_ratio,41622,1486,0.035702272836480704
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_sender_ip_conflict_count,41622,0,0.0
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_sender_ip_conflict_ratio,41622,0,0.0
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_max_macs_per_sender_ip,41622,9412,0.22613041180145116
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_mapping_change_count,41622,0,0.0
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_eth_src_sha_mismatch_ratio,41622,0,0.0
pcap,profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,arp_unique_sender_ip_count,41622,9412,0.22613041180145116
