group,feature,window_count,nonzero_count,nonzero_rate,mean,p50,p95,p99,max
profiling benign,arp_request_ratio,133643,16583,0.12408431418031622,0.07871998602355813,0.0,0.5,1.0,1.0
profiling benign,arp_reply_ratio,133643,15303,0.1145065585178423,0.06856793777342321,0.0,0.5,1.0,1.0
profiling benign,arp_probe_ratio,133643,23,0.00017210029706007796,0.00010298997245563843,0.0,0.0,0.0,1.0
profiling benign,arp_gratuitous_ratio,133643,1502,0.011238897660184223,0.008011038707839143,0.0,0.0,0.3333333333333333,1.0
profiling benign,arp_sender_ip_conflict_count,133643,0,0.0,0.0,0.0,0.0,0.0,0.0
profiling benign,arp_sender_ip_conflict_ratio,133643,0,0.0,0.0,0.0,0.0,0.0,0.0
profiling benign,arp_max_macs_per_sender_ip,133643,19681,0.1472654759321476,0.1472654759321476,0.0,1.0,1.0,1.0
profiling benign,arp_mapping_change_count,133643,0,0.0,0.0,0.0,0.0,0.0,0.0
profiling benign,arp_eth_src_sha_mismatch_ratio,133643,0,0.0,0.0,0.0,0.0,0.0,0.0
profiling benign,arp_unique_sender_ip_count,133643,19681,0.1472654759321476,0.34970032100446713,0.0,3.0,5.0,10.0
profiling benign,arp_unique_sender_mac_count,133643,19681,0.1472654759321476,0.25638454688984835,0.0,2.0,3.0,5.0
profiling benign,arp_ratio,133643,19684,0.14728792379698152,0.019032497025655598,0.0,0.16,0.32,0.72
publisher benign,arp_request_ratio,77427,8479,0.10950960259341057,0.06292156389464756,0.0,0.5,1.0,1.0
publisher benign,arp_reply_ratio,77427,8936,0.11541193640461338,0.06925455038073439,0.0,0.5,1.0,1.0
publisher benign,arp_probe_ratio,77427,13,0.00016790008653312153,0.0001226962170818965,0.0,0.0,0.0,1.0
publisher benign,arp_gratuitous_ratio,77427,263,0.003396747904477766,0.0030498671457251797,0.0,0.0,0.0,1.0
publisher benign,arp_sender_ip_conflict_count,77427,5,6.457695635889289e-05,0.0001808154778049001,0.0,0.0,0.0,4.0
publisher benign,arp_sender_ip_conflict_ratio,77427,5,6.457695635889289e-05,3.9358826991048306e-05,0.0,0.0,0.0,0.75
publisher benign,arp_max_macs_per_sender_ip,77427,10227,0.13208570653647952,0.13215028349283842,0.0,1.0,1.0,2.0
publisher benign,arp_mapping_change_count,77427,5,6.457695635889289e-05,0.0001808154778049001,0.0,0.0,0.0,4.0
publisher benign,arp_eth_src_sha_mismatch_ratio,77427,0,0.0,0.0,0.0,0.0,0.0,0.0
publisher benign,arp_unique_sender_ip_count,77427,10227,0.13208570653647952,0.3608689475247653,0.0,3.0,5.0,11.0
publisher benign,arp_unique_sender_mac_count,77427,10227,0.13208570653647952,0.24678729642114508,0.0,2.0,3.0,6.0
publisher benign,arp_ratio,77427,10234,0.13217611427538198,0.02014801038397385,0.0,0.16,0.32,0.84
spoofing,arp_request_ratio,6423,424,0.06601276661995951,0.05001009768780803,0.0,0.5,1.0,1.0
spoofing,arp_reply_ratio,6423,449,0.06990502880274015,0.0449610995720394,0.0,0.5,1.0,1.0
spoofing,arp_probe_ratio,6423,0,0.0,0.0,0.0,0.0,0.0,0.0
spoofing,arp_gratuitous_ratio,6423,14,0.002179666822357154,0.00020816669093421224,0.0,0.0,0.0,0.5
spoofing,arp_sender_ip_conflict_count,6423,7,0.001089833411178577,0.001089833411178577,0.0,0.0,0.0,1.0
spoofing,arp_sender_ip_conflict_ratio,6423,7,0.001089833411178577,0.0008303492656598681,0.0,0.0,0.0,1.0
spoofing,arp_max_macs_per_sender_ip,6423,610,0.09497119725984743,0.096061030671026,0.0,1.0,1.0,2.0
spoofing,arp_mapping_change_count,6423,7,0.001089833411178577,0.001089833411178577,0.0,0.0,0.0,1.0
spoofing,arp_eth_src_sha_mismatch_ratio,6423,0,0.0,0.0,0.0,0.0,0.0,0.0
spoofing,arp_unique_sender_ip_count,6423,610,0.09497119725984743,0.1815351082048887,0.0,1.0,4.0,8.0
spoofing,arp_unique_sender_mac_count,6423,610,0.09497119725984743,0.14930717733146504,0.0,1.0,3.0,5.0
spoofing,arp_ratio,6423,610,0.09497119725984743,0.027712906741398077,0.0,0.08,0.96,1.0
