group,pcap_path,pcap_id,feature,scope,window_count,nonzero_count,nonzero_rate,mean,p50,p95,p99,max
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_packet_count,all_windows,41622,30304,0.7280764980058623,21.15477391763971,15.0,54.0,65.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_packet_count,windows_with_mqtt,30304,30304,1.0,29.05570221752904,32.0,56.0,67.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_packet_ratio,all_windows,41622,30304,0.7280764980058623,0.846190956705671,0.6,2.16,2.6,4.64
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_packet_ratio,windows_with_mqtt,30304,30304,1.0,1.162228088701275,1.28,2.24,2.6800000000000006,4.64
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_valid_count,all_windows,41622,21074,0.5063187737254337,12.332732689443082,1.0,48.0,60.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_valid_count,windows_with_mqtt,30304,21074,0.6954197465681098,16.938786958817317,3.0,50.0,62.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_count,all_windows,41622,27589,0.6628465715246744,5.6590264763826825,3.0,25.0,36.0,69.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_count,windows_with_mqtt,30304,27589,0.9104078669482577,7.772571277719113,5.0,28.0,38.0,69.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_incomplete_count,all_windows,41622,24491,0.5884147806448513,3.1630147518139444,1.0,18.0,21.0,25.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_incomplete_count,windows_with_mqtt,30304,24491,0.8081771383315733,4.344343980992608,2.0,19.0,21.0,25.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_ratio,all_windows,41622,27589,0.6628465715246744,0.2807647539316475,0.10638297872340426,0.8,1.0,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_ratio,windows_with_mqtt,30304,27589,0.9104078669482577,0.3856253493975394,0.4444444444444444,0.8571428571428571,1.0,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_incomplete_ratio,all_windows,41622,24491,0.5884147806448513,0.13306178608959973,0.037037037037037035,0.4634146341463415,0.52,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_incomplete_ratio,windows_with_mqtt,30304,24491,0.8081771383315733,0.18275797454531809,0.13333333333333333,0.5,0.5365592334494784,1.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_fixed_header_count,all_windows,41622,27216,0.6538849646821393,4.648070731824516,2.0,21.0,30.0,64.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_fixed_header_count,windows_with_mqtt,30304,27216,0.8980992608236537,6.384041710665259,4.0,23.0,32.0,64.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_remaining_length_count,all_windows,41622,14468,0.3476046321656816,0.7305030993224737,0.0,3.0,5.0,11.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_remaining_length_count,windows_with_mqtt,30304,14468,0.477428722280887,1.0033328933474128,0.0,4.0,6.0,11.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_publish_count,all_windows,41622,22827,0.5484359233097881,12.397626255345731,1.0,48.0,60.0,116.0
