group,pcap_path,pcap_id,feature,scope,window_count,nonzero_count,nonzero_rate,mean,p50,p95,p99,max
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_control_packet_count,all_windows,41622,17749,0.4264331363221373,12.18788140887031,0.0,48.0,60.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_control_packet_count,windows_with_mqtt,17749,17749,1.0,28.58099047833681,32.0,55.0,66.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_control_packets_per_frame,all_windows,41622,17749,0.4264331363221373,0.4875152563548426,0.0,1.92,2.4,4.64
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_control_packets_per_frame,windows_with_mqtt,17749,17749,1.0,1.1432396191335432,1.28,2.2,2.64,4.64
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_frame_count,all_windows,41622,17749,0.4264331363221373,2.6670270530008167,0.0,10.0,11.0,16.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_frame_count,windows_with_mqtt,17749,17749,1.0,6.254267846075836,7.0,10.0,12.0,16.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_frame_ratio,all_windows,41622,17749,0.4264331363221373,0.1066810821200312,0.0,0.4,0.44,0.64
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_frame_ratio,windows_with_mqtt,17749,17749,1.0,0.25017071384302997,0.28,0.4,0.48,0.64
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_valid_count,all_windows,41622,17744,0.42631300754408724,12.177021767334583,0.0,48.0,60.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_valid_count,windows_with_mqtt,17749,17744,0.9997182939883937,28.5555242548876,32.0,55.0,66.0,116.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_count,all_windows,41622,48,0.001153236269280669,0.00836096295228485,0.0,0.0,0.0,18.0
profiling benign,data/raw/WiFI_and_MQTT/profiling/PCAP/Active/Active.pcap,Active-75691db1b5d9bcb7,mqtt_invalid_count,windows_with_mqtt,17749,48,0.002704377711420362,0.019606738407797624,0.0,0.0,0.0,18.0
