group,feature,scope,window_count,nonzero_count,nonzero_rate,mean,p50,p95,p99,max
mqtt_malformed,mqtt_control_packet_count,all_windows,2053,902,0.4393570384802728,6.647832440331222,0.0,26.399999999999864,36.960000000000036,62.0
mqtt_malformed,mqtt_control_packet_count,windows_with_mqtt,902,902,1.0,15.130820399113082,13.0,32.0,44.0,62.0
mqtt_malformed,mqtt_control_packets_per_frame,all_windows,2053,902,0.4393570384802728,0.26591329761324883,0.0,1.0559999999999945,1.4784000000000015,2.48
mqtt_malformed,mqtt_control_packets_per_frame,windows_with_mqtt,902,902,1.0,0.6052328159645232,0.52,1.28,1.76,2.48
mqtt_malformed,mqtt_frame_count,all_windows,2053,902,0.4393570384802728,3.5776911836337066,0.0,13.0,15.0,25.0
mqtt_malformed,mqtt_frame_count,windows_with_mqtt,902,902,1.0,8.143015521064301,8.0,14.0,16.0,25.0
mqtt_malformed,mqtt_frame_ratio,all_windows,2053,902,0.4393570384802728,0.14310764734534823,0.0,0.52,0.6,1.0
mqtt_malformed,mqtt_frame_ratio,windows_with_mqtt,902,902,1.0,0.325720620842572,0.32,0.56,0.64,1.0
mqtt_malformed,mqtt_valid_count,all_windows,2053,902,0.4393570384802728,6.644422795908427,0.0,26.399999999999864,36.0,60.0
mqtt_malformed,mqtt_valid_count,windows_with_mqtt,902,902,1.0,15.123059866962306,13.0,32.0,43.99000000000001,60.0
mqtt_malformed,mqtt_invalid_count,all_windows,2053,1,0.0004870920603994155,0.0004870920603994155,0.0,0.0,0.0,1.0
mqtt_malformed,mqtt_invalid_count,windows_with_mqtt,902,1,0.0011086474501108647,0.0011086474501108647,0.0,0.0,0.0,1.0
mqtt_malformed,mqtt_incomplete_count,all_windows,2053,3,0.0014612761811982464,0.0029225523623964927,0.0,0.0,0.0,2.0
mqtt_malformed,mqtt_incomplete_count,windows_with_mqtt,902,3,0.0033259423503325942,0.0066518847006651885,0.0,0.0,0.0,2.0
mqtt_malformed,mqtt_invalid_ratio,all_windows,2053,1,0.0004870920603994155,7.856323554829282e-06,0.0,0.0,0.0,0.016129032258064516
mqtt_malformed,mqtt_invalid_ratio,windows_with_mqtt,902,1,0.0011086474501108647,1.788141048565911e-05,0.0,0.0,0.0,0.016129032258064516
