pcap_id,pcap_path,binary_label,status,error_message,manifest_file_size,disk_file_size,input_file_size,output_path,output_row_count,output_file_size,packets_processed,windows_written,resumed,elapsed_seconds,feature_strategy_version,feature_build_strategy_version,feature_schema_sha256
ARP_Spoofing_train-96f95da2dd4aca68,data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ATTACK,ok,,80000193,80000193,80000193,data/features/v1/train/ARP_Spoofing_train-96f95da2dd4aca68.parquet,6423,365642,160614,6423,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Benign_train-afa71a594c44d5e9,data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,BENIGN,ok,,395000451,395000451,395000451,data/features/v1/train/Benign_train-afa71a594c44d5e9.parquet,77427,4251155,1935680,77427,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
MQTT-DDoS-Connect_Flood_train-539423bcd3a46ba6,data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,ATTACK,ok,,1474000046,1474000046,1474000046,data/features/v1/train/MQTT-DDoS-Connect_Flood_train-539423bcd3a46ba6.parquet,691837,30849642,17295946,691837,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
MQTT-DDoS-Publish_Flood_train-bd996c8b772b0e4c,data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Publish_Flood_train.pcap,ATTACK,ok,,1556000060,1556000060,1556000060,data/features/v1/train/MQTT-DDoS-Publish_Flood_train-bd996c8b772b0e4c.parquet,110171,5829490,2754292,110171,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
MQTT-DoS-Connect_Flood_train-9ed64d06c26d4359,data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Connect_Flood_train.pcap,ATTACK,ok,,110000019,110000019,110000019,data/features/v1/train/MQTT-DoS-Connect_Flood_train-9ed64d06c26d4359.parquet,51077,2431314,1276947,51077,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2,data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Publish_Flood_train.pcap,ATTACK,ok,,1228000128,1228000128,1228000128,data/features/v1/train/MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2.parquet,177263,7729451,4431579,177263,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
MQTT-Malformed_Data_train-047bd795e609d53a,data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-Malformed_Data_train.pcap,ATTACK,ok,,34000023,34000023,34000023,data/features/v1/train/MQTT-Malformed_Data_train-047bd795e609d53a.parquet,2053,113705,51332,2053,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Recon-OS_Scan_train-374d28e87069ff50,data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-OS_Scan_train.pcap,ATTACK,ok,,14000021,14000021,14000021,data/features/v1/train/Recon-OS_Scan_train-374d28e87069ff50.parquet,6736,309168,168400,6736,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Recon-Ping_Sweep_train-e08ccc2a81c89ea0,data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Ping_Sweep_train.pcap,ATTACK,ok,,644273,644273,644273,data/features/v1/train/Recon-Ping_Sweep_train-e08ccc2a81c89ea0.parquet,296,26753,7406,296,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Recon-Port_Scan_train-3277498008f275af,data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Port_Scan_train.pcap,ATTACK,ok,,81000046,81000046,81000046,data/features/v1/train/Recon-Port_Scan_train-3277498008f275af.parquet,33594,1380594,839912,33594,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
Recon-VulScan_train-dd134b38001a54ff,data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-VulScan_train.pcap,ATTACK,ok,,5000071,5000071,5000071,data/features/v1/train/Recon-VulScan_train-dd134b38001a54ff.parquet,869,53163,21747,869,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-ICMP1_train-52560d1b626f5c98,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP1_train.pcap,ATTACK,ok,,1495000075,1495000075,1495000075,data/features/v1/train/TCP_IP-DDoS-ICMP1_train-52560d1b626f5c98.parquet,779446,24077461,19486169,779446,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-ICMP2_train-fe61766820005b0a,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,ATTACK,ok,,1495000031,1495000031,1495000031,data/features/v1/train/TCP_IP-DDoS-ICMP2_train-fe61766820005b0a.parquet,779018,23167877,19475470,779018,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
TCP_IP-DDoS-ICMP3_train-4fd5fc994ad0ad92,data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP3_train.pcap,ATTACK,ok,,1495000043,1495000043,1495000043,data/features/v1/train/TCP_IP-DDoS-ICMP3_train-4fd5fc994ad0ad92.parquet,758549,21192061,18963740,758549,true,0.000000,phase1c2_v1,phase1c3_v1,d3ee4f40f9e2a3da8f2821ea41d5115a8117b1cd921e7a9fb8558026aa02e69b
