scope,feature,count,null_count,nonfinite_count,min,max,mean,std,p01,p50,p99
all,window_span_seconds,87862,0,0,0.0,21.243388891220093,1.3571125069896723,2.918290127340829,0.0,0.0251920223236084,13.55507348537445
all,iat_mean_seconds,87862,0,0,0.0,0.8851412038008372,0.05654640772605242,0.12159541147453498,0.0,0.0010496675968170166,0.5647947285572686
all,iat_std_seconds,87862,0,0,0.0,1.4136610692769298,0.09883438185531018,0.17903092801976156,0.0,0.0027485853087861967,0.7820132230472961
all,iat_p50_seconds,87862,0,0,0.0,0.7930220365524292,0.018804115882320057,0.05425719680154358,0.0,8.940696716308594e-06,0.2567013764381407
all,iat_p95_seconds,87862,0,0,0.0,4.592154538631436,0.22853988146776638,0.4782438268820734,0.0,0.001449304819107055,2.1366757529973976
all,frame_length_mean,87862,0,0,57.12,2962.0,202.18903644352613,322.1585649956506,60.0,77.68,1494.0
all,frame_length_std,87862,0,0,0.0,1790.8429407404774,117.69881845877133,183.33505125640676,0.0,15.141994584598162,686.6893479296018
all,frame_length_min,87862,0,0,42.0,1514.0,99.647105688466,218.52859963416566,42.0,60.0,1494.0
all,frame_length_max,87862,0,0,60.0,8754.0,525.1915617673169,673.9782730443719,60.0,111.0,2882.0
all,ipv4_ratio,87862,0,0,0.0,1.0,0.9836807721198857,0.059019250501856524,0.76,1.0,1.0
all,ipv6_ratio,87862,0,0,0.0,0.56,0.0017536591472991907,0.011604652464799392,0.0,0.0,0.04
all,arp_ratio,87862,0,0,0.0,1.0,0.014421251508046662,0.05700186519899602,0.0,0.0,0.24
all,llc_ratio,87862,0,0,0.0,0.2,2.185245043363457e-05,0.0012800219736146664,0.0,0.0,0.0
all,other_protocol_ratio,87862,0,0,0.0,0.04,0.00012246477430515976,0.0022098853706116464,0.0,0.0,0.0
all,tcp_ratio,87862,0,0,0.0,1.0,0.837389087432532,0.29505035407732033,0.0,1.0,1.0
