pcap_path,pcap_id,group,binary_label,attack_family,attack_type,profiling_type,row_count,tcp_urg_ratio_nonzero_windows,tcp_urg_ratio_max,frame_length_max_max,frame_length_max_eq_8754_windows,ipv6_ratio_nonzero_windows,llc_ratio_nonzero_windows,igmp_ratio_nonzero_windows,icmpv6_ratio_nonzero_windows,window_span_seconds_mean,iat_mean_seconds_mean
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,Spoofing,ATTACK,Spoofing,ARP_Spoofing,,6423,0,0.0,1514.0,0,154,5,0,16,0.2881780084226615,0.012007417017610897
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,Benign_train-afa71a594c44d5e9,publisher_benign,BENIGN,,,,77427,0,0.0,1514.0,0,6540,22,102,253,0.9841826713962613,0.04100766771282007
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,MQTT-DDoS-Connect_Flood_train-539423bcd3a46ba6,MQTT,ATTACK,MQTT,MQTT_DDoS_Connect_Flood,,691837,0,0.0,1514.0,0,49,0,0,1,0.0007430840570218752,3.0972030835134326e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Publish_Flood_train.pcap,MQTT-DDoS-Publish_Flood_train-bd996c8b772b0e4c,MQTT,ATTACK,MQTT,MQTT_DDoS_Publish_Flood,,110171,0,0.0,1514.0,0,38,0,0,0,0.0045846445188169075,0.000191030055350775
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Connect_Flood_train.pcap,MQTT-DoS-Connect_Flood_train-9ed64d06c26d4359,MQTT,ATTACK,MQTT,MQTT_DoS_Connect_Flood,,51077,0,0.0,1474.0,0,41,0,3,4,0.007861291797172725,0.00032756111097052945
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Publish_Flood_train.pcap,MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2,MQTT,ATTACK,MQTT,MQTT_DoS_Publish_Flood,,177263,0,0.0,1514.0,0,44,1,0,2,0.002927421623021624,0.00012198478994633862
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-Malformed_Data_train.pcap,MQTT-Malformed_Data_train-047bd795e609d53a,MQTT,ATTACK,MQTT,MQTT_Malformed_Data,,2053,0,0.0,1514.0,0,41,0,0,0,0.20608469514340466,0.008586862413773658
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-OS_Scan_train.pcap,Recon-OS_Scan_train-374d28e87069ff50,Recon,ATTACK,Recon,OS_Scan,,6736,161,0.24,1514.0,0,76,1,2,4,0.1231755448987535,0.005132315001986561
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Ping_Sweep_train.pcap,Recon-Ping_Sweep_train-e08ccc2a81c89ea0,Recon,ATTACK,Recon,Ping_Sweep,,296,0,0.0,1474.0,0,8,0,0,0,0.2891491506550763,0.012047881411539542
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Port_Scan_train.pcap,Recon-Port_Scan_train-3277498008f275af,Recon,ATTACK,Recon,Port_Scan,,33594,0,0.0,1514.0,0,109,1,5,8,0.03336293686569649,0.001390123445495497
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-VulScan_train.pcap,Recon-VulScan_train-dd134b38001a54ff,Recon,ATTACK,Recon,VulScan,,869,0,0.0,1514.0,0,9,1,2,3,0.352969051916388,0.014707045075899806
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP1_train.pcap,TCP_IP-DDoS-ICMP1_train-52560d1b626f5c98,DDoS,ATTACK,DDoS,DDoS_ICMP,,779446,0,0.0,1514.0,0,56,5,0,5,0.0006334060823325232,2.639211926467065e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP2_train.pcap,TCP_IP-DDoS-ICMP2_train-fe61766820005b0a,DDoS,ATTACK,DDoS,DDoS_ICMP,,779018,0,0.0,1514.0,0,35,5,9,9,0.0003479910057710547,1.4500720083879258e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP3_train.pcap,TCP_IP-DDoS-ICMP3_train-4fd5fc994ad0ad92,DDoS,ATTACK,DDoS,DDoS_ICMP,,758549,0,0.0,1514.0,0,38,1,0,2,0.0005549865802058181,2.3124917975669973e-05
data/raw/WiFI_and_MQTT/attacks/pcap/train/TCP_IP-DDoS-ICMP4_train.pcap,TCP_IP-DDoS-ICMP4_train-c9aeedc59b581cd1,DDoS,ATTACK,DDoS,DDoS_ICMP,,770663,0,0.0,1514.0,0,46,20,0,1,0.0005175149571488889,2.15634138530145e-05
