pcap_path,source,binary_label,attack_family,attack_type,profiling_type,profiling_variant,device,capture_session,window_size,inactivity_timeout_seconds,backward_reset_seconds,packet_count,positive_gap_boundary_count,backward_discontinuity_boundary_count,segment_count,full_window_count,emitted_packet_count,dropped_partial_window_count,dropped_partial_packet_count,packet_retention_ratio,zero_span_window_count,zero_span_window_ratio,window_span_min,window_span_mean,window_span_p50,window_span_p95,window_span_p99,window_span_max,windowing_strategy_version
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,attacks,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,25,5.0,1.0,50000,1,0,2,1999,49975,2,25,0.9995,0,0.0,0.0002720355987548828,0.2711224623952525,0.023610830307006836,1.2321738481521605,1.996879463195801,2.003937005996704,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,attacks,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,25,30.0,1.0,50000,1,0,2,1999,49975,2,25,0.9995,0,0.0,0.0002720355987548828,0.2711224623952525,0.023610830307006836,1.2321738481521605,1.996879463195801,2.003937005996704,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,attacks,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,50,5.0,1.0,50000,1,0,2,999,49950,2,50,0.999,0,0.0,0.0011060237884521484,0.5552726328909934,0.07173991203308105,2.4916472911834715,2.99957501411438,3.2704341411590576,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,attacks,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,50,30.0,1.0,50000,1,0,2,999,49950,2,50,0.999,0,0.0,0.0011060237884521484,0.5552726328909934,0.07173991203308105,2.4916472911834715,2.99957501411438,3.2704341411590576,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,attacks,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,100,5.0,1.0,50000,1,0,2,499,49900,2,100,0.998,0,0.0,0.020548105239868164,1.124984867348222,0.2676100730895996,4.778634023666376,5.337201800346371,6.001306772232056,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,attacks,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,100,30.0,1.0,50000,1,0,2,499,49900,2,100,0.998,0,0.0,0.020548105239868164,1.124984867348222,0.2676100730895996,4.778634023666376,5.337201800346371,6.001306772232056,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,attacks,BENIGN,,,,,,Benign,25,5.0,1.0,50000,0,1,2,2000,50000,0,0,1.0,17,0.0085,0.0,0.5429148964881897,0.31762707233428955,1.7888010263442993,3.5801969599723815,10.55168104171753,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,attacks,BENIGN,,,,,,Benign,25,30.0,1.0,50000,0,1,2,2000,50000,0,0,1.0,17,0.0085,0.0,0.5429148964881897,0.31762707233428955,1.7888010263442993,3.5801969599723815,10.55168104171753,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,attacks,BENIGN,,,,,,Benign,50,5.0,1.0,50000,0,1,2,999,49950,2,50,0.999,0,0.0,7.390975952148438e-05,1.1111903827827614,0.756058931350708,2.9994994640350345,6.166898050308218,17.215259075164795,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,attacks,BENIGN,,,,,,Benign,50,30.0,1.0,50000,0,1,2,999,49950,2,50,0.999,0,0.0,7.390975952148438e-05,1.1111903827827614,0.756058931350708,2.9994994640350345,6.166898050308218,17.215259075164795,phase1c1_v1
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,attacks,BENIGN,,,,,,Benign,100,5.0,1.0,50000,0,1,2,499,49900,2,100,0.998,0,0.0,0.0021200180053710938,2.245983258039058,1.556570053100586,5.7049013137817335,8.875328707695001,30.898443937301636,phase1c1_v1
