pcap_path,source,grouping_key,split,split_origin,strategy_version,seed
data/raw/WiFI_and_MQTT/attacks/pcap/test/ARP_Spoofing_test.pcap,attacks,attacks:ARP_Spoofing:test:ARP_Spoofing,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,attacks,attacks:Benign:test,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Connect_Flood_test.pcap,attacks,attacks:MQTT_DDoS_Connect_Flood:test:MQTT_DDoS_Connect_Flood,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Publish_Flood_test.pcap,attacks,attacks:MQTT_DDoS_Publish_Flood:test:MQTT_DDoS_Publish_Flood,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Connect_Flood_test.pcap,attacks,attacks:MQTT_DoS_Connect_Flood:test:MQTT_DoS_Connect_Flood,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Publish_Flood_test.pcap,attacks,attacks:MQTT_DoS_Publish_Flood:test:MQTT_DoS_Publish_Flood,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-Malformed_Data_test.pcap,attacks,attacks:MQTT_Malformed_Data:test:MQTT_Malformed_Data,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-OS_Scan_test.pcap,attacks,attacks:OS_Scan:test:OS_Scan,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-Ping_Sweep_test.pcap,attacks,attacks:Ping_Sweep:test:Ping_Sweep,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-Port_Scan_test.pcap,attacks,attacks:Port_Scan:test:Port_Scan,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,attacks,attacks:VulScan:test:VulScan,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP1_test.pcap,attacks,attacks:DDoS_ICMP:test:DDoS_ICMP_1,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP2_test.pcap,attacks,attacks:DDoS_ICMP:test:DDoS_ICMP_2,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-SYN_test.pcap,attacks,attacks:DDoS_SYN:test:DDoS_SYN,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-TCP_test.pcap,attacks,attacks:DDoS_TCP:test:DDoS_TCP,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-UDP1_test.pcap,attacks,attacks:DDoS_UDP:test:DDoS_UDP_1,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-UDP2_test.pcap,attacks,attacks:DDoS_UDP:test:DDoS_UDP_2,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-ICMP_test.pcap,attacks,attacks:DoS_ICMP:test:DoS_ICMP,test,provided,phase1a_v1,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DoS-SYN_test.pcap,attacks,attacks:DoS_SYN:test:DoS_SYN,test,provided,phase1a_v1,
