pcap_path,filename,dataset_scope,source,split,binary_label,attack_family,attack_type,profiling_type,profiling_variant,device,capture_session,file_size,grouping_key,unresolved_reason
data/raw/WiFI_and_MQTT/attacks/pcap/test/ARP_Spoofing_test.pcap,ARP_Spoofing_test.pcap,wifi_mqtt,attacks,test,ATTACK,Spoofing,ARP_Spoofing,,,,ARP_Spoofing,7949717,attacks:ARP_Spoofing:test:ARP_Spoofing,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Benign_test.pcap,Benign_test.pcap,wifi_mqtt,attacks,test,BENIGN,,,,,,Benign,98059593,attacks:Benign:test,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Connect_Flood_test.pcap,MQTT-DDoS-Connect_Flood_test.pcap,wifi_mqtt,attacks,test,ATTACK,MQTT,MQTT_DDoS_Connect_Flood,,,,MQTT_DDoS_Connect_Flood,354547102,attacks:MQTT_DDoS_Connect_Flood:test:MQTT_DDoS_Connect_Flood,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DDoS-Publish_Flood_test.pcap,MQTT-DDoS-Publish_Flood_test.pcap,wifi_mqtt,attacks,test,ATTACK,MQTT,MQTT_DDoS_Publish_Flood,,,,MQTT_DDoS_Publish_Flood,331111229,attacks:MQTT_DDoS_Publish_Flood:test:MQTT_DDoS_Publish_Flood,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Connect_Flood_test.pcap,MQTT-DoS-Connect_Flood_test.pcap,wifi_mqtt,attacks,test,ATTACK,MQTT,MQTT_DoS_Connect_Flood,,,,MQTT_DoS_Connect_Flood,27166717,attacks:MQTT_DoS_Connect_Flood:test:MQTT_DoS_Connect_Flood,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-DoS-Publish_Flood_test.pcap,MQTT-DoS-Publish_Flood_test.pcap,wifi_mqtt,attacks,test,ATTACK,MQTT,MQTT_DoS_Publish_Flood,,,,MQTT_DoS_Publish_Flood,236949368,attacks:MQTT_DoS_Publish_Flood:test:MQTT_DoS_Publish_Flood,
data/raw/WiFI_and_MQTT/attacks/pcap/test/MQTT-Malformed_Data_test.pcap,MQTT-Malformed_Data_test.pcap,wifi_mqtt,attacks,test,ATTACK,MQTT,MQTT_Malformed_Data,,,,MQTT_Malformed_Data,8570468,attacks:MQTT_Malformed_Data:test:MQTT_Malformed_Data,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-OS_Scan_test.pcap,Recon-OS_Scan_test.pcap,wifi_mqtt,attacks,test,ATTACK,Recon,OS_Scan,,,,OS_Scan,3455426,attacks:OS_Scan:test:OS_Scan,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-Ping_Sweep_test.pcap,Recon-Ping_Sweep_test.pcap,wifi_mqtt,attacks,test,ATTACK,Recon,Ping_Sweep,,,,Ping_Sweep,161541,attacks:Ping_Sweep:test:Ping_Sweep,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-Port_Scan_test.pcap,Recon-Port_Scan_test.pcap,wifi_mqtt,attacks,test,ATTACK,Recon,Port_Scan,,,,Port_Scan,20947253,attacks:Port_Scan:test:Port_Scan,
data/raw/WiFI_and_MQTT/attacks/pcap/test/Recon-VulScan_test.pcap,Recon-VulScan_test.pcap,wifi_mqtt,attacks,test,ATTACK,Recon,VulScan,,,,VulScan,1216962,attacks:VulScan:test:VulScan,
data/raw/WiFI_and_MQTT/attacks/pcap/test/TCP_IP-DDoS-ICMP1_test.pcap,TCP_IP-DDoS-ICMP1_test.pcap,wifi_mqtt,attacks,test,ATTACK,DDoS,DDoS_ICMP,,,,DDoS_ICMP_1,1186157315,attacks:DDoS_ICMP:test:DDoS_ICMP_1,
