model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall
B_27_balanced,fixed_threshold,0.5,,6687,22504,0.29714717383576256,6644,9315,0.7132581857219539,43,13149,0.003270210662407788,0,40,0.0,3213432,3216597,0.9990160408655483,1518855,1520960,0.9986160056806228,176656,177263,0.9965757095389337,5991,6736,0.8894002375296912,0.9709019984036991,0.8894002375296912
B_27_balanced,fixed_threshold,0.75,,4440,22504,0.1972982580874511,4430,9315,0.475577026301664,10,13149,0.0007605141075366948,0,40,0.0,3212728,3216597,0.9987971760217398,1518095,1520960,0.9981163212707763,175964,177263,0.9926719055866142,5888,6736,0.8741092636579573,0.9659236666342719,0.8741092636579573
B_27_balanced,fixed_threshold,0.85,,2276,22504,0.10113757554212584,2273,9315,0.2440150295222759,3,13149,0.00022815423226100844,0,40,0.0,3212333,3216597,0.9986743754346596,1517689,1520960,0.9978493845992005,175489,177263,0.989992271370788,5840,6736,0.8669833729216152,0.9633748510815658,0.8669833729216152
B_27_balanced,fixed_threshold,0.9,,1048,22504,0.04656949875577675,1046,9315,0.1122920021470746,2,13149,0.00015210282150733895,0,40,0.0,3212122,3216597,0.9986087781590296,1517288,1520960,0.9975857353250579,175047,177263,0.9874988012162719,5812,6736,0.8628266033254157,0.9616299795064438,0.8628266033254157
B_27_balanced,fixed_threshold,0.925,,438,22504,0.019463206541059368,436,9315,0.046806226516371445,2,13149,0.00015210282150733895,0,40,0.0,3211975,3216597,0.9985630776873821,1516889,1520960,0.9973234010098885,174650,177263,0.9852591911453603,5786,6736,0.8589667458432304,0.9600281039214653,0.8589667458432304
B_27_balanced,fixed_threshold,0.94,,225,22504,0.009998222538215428,223,9315,0.023939881910896403,2,13149,0.00015210282150733895,0,40,0.0,3211847,3216597,0.9985232840794168,1516653,1520960,0.9971682358510414,174254,177263,0.98302522240964,5774,6736,0.857185273159145,0.9589755038748108,0.857185273159145
B_27_balanced,fixed_threshold,0.95,,136,22504,0.006043370067543548,134,9315,0.01438539989264627,2,13149,0.00015210282150733895,0,40,0.0,3211734,3216597,0.9984881537848851,1516475,1520960,0.9970512045024196,173977,177263,0.9814625725616739,5762,6736,0.8554038004750594,0.9581014328310096,0.8554038004750594
B_27_balanced,fixed_threshold,0.97,,15,22504,0.0006665481692143619,13,9315,0.0013955984970477724,2,13149,0.00015210282150733895,0,40,0.0,3211436,3216597,0.9983955092913411,1515833,1520960,0.9966291026719967,172545,177263,0.9733841805678568,5736,6736,0.8515439429928741,0.9549881838810171,0.8515439429928741
B_27_balanced,fixed_threshold,0.98,,2,22504,8.887308922858158e-05,1,9315,0.00010735373054213633,1,13149,7.605141075366947e-05,0,40,0.0,3211265,3216597,0.9983423475182002,1515356,1520960,0.9963154849568694,169849,177263,0.9581751408923465,5709,6736,0.8475356294536817,0.9500921507052744,0.8475356294536817
B_27_balanced,fixed_threshold,0.99,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3210639,3216597,0.9981477319042454,1514268,1520960,0.995600147275405,156369,177263,0.8821299425147944,5676,6736,0.8426365795724465,0.9296286003167229,0.8426365795724465
B_27_balanced,fixed_threshold,0.995,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3208496,3216597,0.9974814998583907,1512011,1520960,0.9941162160740585,128718,177263,0.7261413831425622,5635,6736,0.8365498812351544,0.8885722450775415,0.7261413831425622
