variant_id,feature_count,class_weight,model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall
A_27_unweighted,27,none,A_27_unweighted,fpr_target,0.9358900785446167,0.01,211,22504,0.009376110913615357,208,9315,0.022329575952764358,3,13149,0.00022815423226100844,0,40,0.0,3212298,3216597,0.9986634943699817,1517698,1520960,0.9978553019145803,175352,177263,0.9892194084495919,5815,6736,0.8632719714964371,0.9622525440576477,0.8632719714964371
A_27_unweighted,27,none,A_27_unweighted,fpr_target,0.9389187097549438,0.005,76,22504,0.0033771773906861,73,9315,0.007836822329575954,3,13149,0.00022815423226100844,0,40,0.0,3212282,3216597,0.998658520168986,1517681,1520960,0.9978441247633074,175296,177263,0.988903493678884,5813,6736,0.8629750593824228,0.9620952994984,0.8629750593824228
A_27_unweighted,27,none,A_27_unweighted,fpr_target,0.9494479298591614,0.001,23,22504,0.0010220405261286882,20,9315,0.0021470746108427268,3,13149,0.00022815423226100844,0,40,0.0,3212221,3216597,0.9986395560276902,1517566,1520960,0.9977685146223438,174830,177263,0.9862746314797787,5801,6736,0.8611935866983373,0.9609690722070374,0.8611935866983373
B_27_balanced,27,balanced,B_27_balanced,fpr_target,0.9400461316108704,0.01,225,22504,0.009998222538215428,223,9315,0.023939881910896403,2,13149,0.00015210282150733895,0,40,0.0,3211846,3216597,0.9985229731918546,1516651,1520960,0.9971669208920682,174252,177263,0.9830139397392574,5774,6736,0.857185273159145,0.9589722767455813,0.857185273159145
B_27_balanced,27,balanced,B_27_balanced,fpr_target,0.9524970650672913,0.005,111,22504,0.004932456452186278,109,9315,0.011701556629092861,2,13149,0.00015210282150733895,0,40,0.0,3211703,3216597,0.998478516270456,1516433,1520960,0.9970235903639807,173863,177263,0.9808194603498757,5758,6736,0.8548099762470309,0.9577828858078359,0.8548099762470309
B_27_balanced,27,balanced,B_27_balanced,fpr_target,0.9622615575790405,0.001,22,22504,0.0009776039815143974,20,9315,0.0021470746108427268,2,13149,0.00015210282150733895,0,40,0.0,3211572,3216597,0.9984377899998041,1516154,1520960,0.9968401535872081,173257,177263,0.9774008112240005,5750,6736,0.8536223277909739,0.9565752706504967,0.8536223277909739
C_22_unweighted,22,none,C_22_unweighted,fpr_target,0.9318886995315552,0.01,49,22504,0.0021773906861002486,44,9315,0.0047235641438539986,5,13149,0.0003802570537683474,0,40,0.0,3212322,3216597,0.9986709556714751,1517744,1520960,0.9978855459709657,176072,177263,0.9932811697872652,5878,6736,0.872624703087886,0.965615593629398,0.872624703087886
C_22_unweighted,22,none,C_22_unweighted,fpr_target,0.9318886995315552,0.005,49,22504,0.0021773906861002486,44,9315,0.0047235641438539986,5,13149,0.0003802570537683474,0,40,0.0,3212322,3216597,0.9986709556714751,1517744,1520960,0.9978855459709657,176072,177263,0.9932811697872652,5878,6736,0.872624703087886,0.965615593629398,0.872624703087886
C_22_unweighted,22,none,C_22_unweighted,fpr_target,0.947233259677887,0.001,23,22504,0.0010220405261286882,19,9315,0.0020397208803005903,4,13149,0.0003042056430146779,0,40,0.0,3212072,3216597,0.9985932337809181,1517181,1520960,0.9975153850199874,176013,177263,0.9929483310109837,5853,6736,0.8689133016627079,0.9644925628686493,0.8689133016627079
D_22_balanced,22,balanced,D_22_balanced,fpr_target,0.9157406091690063,0.01,226,22504,0.01004265908282972,219,9315,0.023510466988727857,7,13149,0.0005323598752756864,0,40,0.0,3211575,3216597,0.9984387226624908,1516055,1520960,0.9967750631180308,176030,177263,0.9930442337092343,5859,6736,0.8698040380047506,0.9645155143736267,0.8698040380047506
D_22_balanced,22,balanced,D_22_balanced,fpr_target,0.9417406916618347,0.005,113,22504,0.00502132954141486,108,9315,0.011594202898550725,5,13149,0.0003802570537683474,0,40,0.0,3210603,3216597,0.9981365399520051,1515012,1520960,0.9960893120134652,175842,177263,0.9919836626932862,5841,6736,0.8671318289786223,0.9633353359093447,0.8671318289786223
D_22_balanced,22,balanced,D_22_balanced,fpr_target,0.960199236869812,0.001,23,22504,0.0010220405261286882,20,9315,0.0021470746108427268,3,13149,0.00022815423226100844,0,40,0.0,3209513,3216597,0.9977976725091766,1514641,1520960,0.9958453871239218,175708,177263,0.9912277237776637,5822,6736,0.8643111638954869,0.9622954868265622,0.8643111638954869
