pcap_id,modeling_group_key,binary_label,benign_category,row_count,tp,fp,tn,fn,recall,fpr,specificity,attack_score_mean,attack_score_p95,attack_score_p99,max_attack_score
Idle-d722d61af6fa2e4f,benign|singleton|Idle,BENIGN,profiling_idle,13149,0,1018,12131,0,,0.07742033614723554,0.9225796638527645,0.3955109212002162,0.5090668201446533,0.5383367538452148,0.6819445490837097
MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2,MQTT|MQTT_DoS_Publish_Flood,ATTACK,,177263,176971,0,0,292,0.9983527301241658,,,0.5739369335249369,0.5903568267822266,0.5955404043197632,0.6955593228340149
Owltron_Camera_LAN_MIC-513871f21444e330,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1555,0,643,912,0,,0.4135048231511254,0.5864951768488746,0.4853490874506653,0.5427027940750122,0.5427027940750122,0.6456387042999268
Owltron_Camera_LAN_PHOTO-69a017e92848fbf2,benign|device|Owltron_Camera,BENIGN,profiling_interaction,351,0,139,212,0,,0.396011396011396,0.603988603988604,0.47724652570537013,0.5427027940750122,0.563359797000885,0.563359797000885
Owltron_Camera_LAN_RECORDING-ca11ebd976e95b7a,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1465,0,615,850,0,,0.4197952218430034,0.5802047781569966,0.4849217546270976,0.5427027940750122,0.5427027940750122,0.571002185344696
Owltron_Camera_LAN_WATCH-cda5a932525e6361,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1223,0,467,756,0,,0.38184791496320525,0.6181520850367948,0.48194357206952054,0.5427027940750122,0.5488300299644469,0.582884669303894
Owltron_Camera_Power-e29ebcb4aba84f5c,benign|device|Owltron_Camera,BENIGN,profiling_power,40,0,10,30,0,,0.25,0.75,0.47096010819077494,0.5398127794265747,0.5557043921947479,0.5609891414642334
Owltron_Camera_WAN_MIC-7fcce3ac94583d03,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1491,0,624,867,0,,0.41851106639839036,0.5814889336016097,0.4871412779083994,0.5427027940750122,0.5427027940750122,0.5942767262458801
Owltron_Camera_WAN_PHOTO-5c62c1a67a91c873,benign|device|Owltron_Camera,BENIGN,profiling_interaction,226,0,89,137,0,,0.3938053097345133,0.6061946902654868,0.4742598341102094,0.5427027940750122,0.563359797000885,0.563359797000885
Owltron_Camera_WAN_RECORDING-3648d530c3ad1085,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1604,0,662,942,0,,0.41271820448877805,0.587281795511222,0.4864339839639212,0.5427027940750122,0.5427027940750122,0.571002185344696
Owltron_Camera_WAN_WATCH-e3699111318bff69,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1400,0,603,797,0,,0.4307142857142857,0.5692857142857143,0.48646411697779385,0.5427027940750122,0.563359797000885,0.6142598986625671
Recon-OS_Scan_train-374d28e87069ff50,Recon|OS_Scan,ATTACK,,6736,5913,0,0,823,0.8778206650831354,,,0.6930451514309984,0.783910870552063,0.7875266671180725,0.7875266671180725
TCP_IP-DDoS-TCP1_train-4bd6e516680531ed,DDoS|DDoS_TCP,ATTACK,,808944,808937,0,0,7,0.9999913467434087,,,0.7574833218561559,0.7641398906707764,0.7641398906707764,0.7641398906707764
TCP_IP-DDoS-TCP2_train-eb9fb6bc59c007af,DDoS|DDoS_TCP,ATTACK,,788029,785539,0,0,2490,0.996840217809243,,,0.7567451777321048,0.7641398906707764,0.7641398906707764,0.783469557762146
TCP_IP-DDoS-TCP3_train-168296df72c3c541,DDoS|DDoS_TCP,ATTACK,,815984,815824,0,0,160,0.9998039177238769,,,0.760694064843061,0.7641398906707764,0.7641398906707764,0.7641398906707764
TCP_IP-DDoS-TCP4_train-c56180c095ed3093,DDoS|DDoS_TCP,ATTACK,,803640,803079,0,0,561,0.9993019262356279,,,0.7589565012249659,0.7641398906707764,0.7641398906707764,0.7875266671180725
TCP_IP-DoS-TCP1_train-6a08fbf1e5b3072a,DoS|DoS_TCP,ATTACK,,381507,380797,0,0,710,0.9981389594424218,,,0.7565433744050353,0.7641398906707764,0.7641398906707764,0.783469557762146
TCP_IP-DoS-TCP2_train-8853e4b749af42d2,DoS|DoS_TCP,ATTACK,,381940,381532,0,0,408,0.998931769387862,,,0.7539444440489178,0.7641398906707764,0.7641398906707764,0.783469557762146
TCP_IP-DoS-TCP3_train-d43deb6bda91d593,DoS|DoS_TCP,ATTACK,,383711,383562,0,0,149,0.9996116869206252,,,0.7587278042693153,0.7641398906707764,0.7641398906707764,0.7641398906707764
TCP_IP-DoS-TCP4_train-ee50fb6ee9902745,DoS|DoS_TCP,ATTACK,,373802,372726,0,0,1076,0.9971214707251432,,,0.7572520837117527,0.7641398906707764,0.7641398906707764,0.783469557762146
