model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,macro_benign_pcap_fpr
hgb,fixed_threshold,0.5,,6294,22504,0.27968361180234624,6245,9315,0.6704240472356414,49,13149,0.0037265191269298045,0,40,0.0,3213856,3216597,0.999147857191933,1519366,1520960,0.9989519776982958,176940,177263,0.9981778487332382,6060,6736,0.899643705463183,0.9739803472716626,0.899643705463183,0.4996666741502874
hgb,fixed_threshold,0.75,,4228,22504,0.18787771062922148,4213,9315,0.4522812667740204,15,13149,0.0011407711613050423,0,40,0.0,3213184,3216597,0.9989389407501157,1518774,1520960,0.9985627498422049,176681,177263,0.996716742918714,5958,6736,0.8845011876484561,0.9696799052898727,0.8845011876484561,0.3421862211056668
hgb,fixed_threshold,0.85,,2945,22504,0.13086562388908637,2935,9315,0.31508319914117017,10,13149,0.0007605141075366948,0,40,0.0,3212856,3216597,0.9988369696297049,1518318,1520960,0.998262939196297,176345,177263,0.9948212542944664,5902,6736,0.876187648456057,0.9670272028941314,0.876187648456057,0.24848948766403875
hgb,fixed_threshold,0.9,,1103,22504,0.049013508709562746,1098,9315,0.1178743961352657,5,13149,0.0003802570537683474,0,40,0.0,3212531,3216597,0.9987359311719808,1517998,1520960,0.9980525457605722,175959,177263,0.9926436989106582,5865,6736,0.8706947743467933,0.965031737547501,0.8706947743467933,0.08662591331076236
hgb,fixed_threshold,0.925,,679,22504,0.03017241379310345,676,9315,0.07257112184648416,3,13149,0.00022815423226100844,0,40,0.0,3212374,3216597,0.998687121824711,1517780,1520960,0.9979092152324848,175570,177263,0.9904492195212763,5830,6736,0.8654988123515439,0.963136092232504,0.8654988123515439,0.05190630904299041
hgb,fixed_threshold,0.94,,72,22504,0.003199431212228937,69,9315,0.007407407407407408,3,13149,0.00022815423226100844,0,40,0.0,3212270,3216597,0.9986547895182393,1517670,1520960,0.9978368924889544,175197,177263,0.9883450014949539,5812,6736,0.8628266033254157,0.9619158217068908,0.8628266033254157,0.00501774291546934
hgb,fixed_threshold,0.95,,19,22504,0.000844294347671525,16,9315,0.0017176596886741813,3,13149,0.00022815423226100844,0,40,0.0,3212220,3216597,0.9986392451401279,1517564,1520960,0.9977671996633705,174817,177263,0.9862012941222928,5801,6736,0.8611935866983373,0.9609503314060321,0.8611935866983373,0.001422316365816478
hgb,fixed_threshold,0.97,,6,22504,0.0002666192676857448,4,9315,0.00042941492216854533,2,13149,0.00015210282150733895,0,40,0.0,3212037,3216597,0.9985823527162402,1517098,1520960,0.9974608142225962,172723,177263,0.9743883382318927,5767,6736,0.856146080760095,0.9566443964827059,0.856146080760095,0.00032481741026593215
hgb,fixed_threshold,0.98,,5,22504,0.00022218272307145397,3,9315,0.00032206119162640903,2,13149,0.00015210282150733895,0,40,0.0,3211808,3216597,0.99851115946449,1516435,1520960,0.997024905322954,169424,177263,0.9557775734360808,5737,6736,0.8516923990498813,0.9507515093183514,0.8516923990498813,0.00026050872859390646
hgb,fixed_threshold,0.99,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3211455,3216597,0.9984014161550234,1515558,1520960,0.9964482958131706,156068,177263,0.8804319006222393,5701,6736,0.8463479809976246,0.9304073983970145,0.8463479809976246,7.605141075366948e-06
hgb,fixed_threshold,0.995,,1,22504,4.443654461429079e-05,0,9315,0.0,1,13149,7.605141075366947e-05,0,40,0.0,3211001,3216597,0.9982602732017719,1514651,1520960,0.9958519619187881,130414,177263,0.7357090876268595,5651,6736,0.8389251781472684,0.8921866252236719,0.7357090876268595,7.605141075366948e-06
adaboost,fixed_threshold,0.5,,4870,22504,0.21640597227159616,3842,9315,0.4124530327428878,1018,13149,0.07742033614723554,10,40,0.25,3213379,3216597,0.9989995638247502,1518617,1520960,0.9984595255628025,176971,177263,0.9983527301241658,5913,6736,0.8778206650831354,0.9684081211487134,0.8778206650831354,0.3594328558451933
adaboost,fixed_threshold,0.75,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,3068472,3216597,0.9539497798449728,1413319,1520960,0.9292282505785819,0,177263,0.0,2832,6736,0.42042755344418054,0.5759013959669338,0.0,0.0
adaboost,fixed_threshold,0.85,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.9,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.925,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.94,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.95,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.97,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.98,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.99,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
adaboost,fixed_threshold,0.995,,0,22504,0.0,0,9315,0.0,0,13149,0.0,0,40,0.0,0,3216597,0.0,0,1520960,0.0,0,177263,0.0,0,6736,0.0,0.0,0.0,0.0
random_forest,fixed_threshold,0.5,,6515,22504,0.2895040881621045,6504,9315,0.6982286634460547,11,13149,0.0008365655182903642,0,40,0.0,3214006,3216597,0.9991944903262672,1519575,1520960,0.9990893909110036,177013,177263,0.9985896662021967,6042,6736,0.8969714964370546,0.9734612609691305,0.8969714964370546,0.5177316060021682
random_forest,fixed_threshold,0.75,,3405,22504,0.15130643441166014,3403,9315,0.36532474503489,2,13149,0.00015210282150733895,0,40,0.0,3213286,3216597,0.998970651281463,1518540,1520960,0.9984088996423311,175185,177263,0.9882773054726592,5832,6736,0.8657957244655582,0.9628631452155029,0.8657957244655582,0.2806625766943902
random_forest,fixed_threshold,0.85,,2296,22504,0.10202630643441166,2295,9315,0.2463768115942029,1,13149,7.605141075366947e-05,0,40,0.0,3212712,3216597,0.9987922018207441,1515811,1520960,0.9966146381232905,163006,177263,0.9195714841788755,5754,6736,0.8542161520190024,0.9422986190354782,0.8542161520190024,0.19299426032809155
random_forest,fixed_threshold,0.9,,1749,22504,0.07771951653039459,1749,9315,0.18776167471819646,0,13149,0.0,0,40,0.0,3212418,3216597,0.9987008008774491,1514449,1520960,0.9957191510624869,148333,177263,0.8367961729182063,5703,6736,0.8466448931116389,0.9194652544924452,0.8367961729182063,0.14307198349319458
random_forest,fixed_threshold,0.925,,1321,22504,0.05870067543547814,1321,9315,0.14181427804616212,0,13149,0.0,0,40,0.0,3211590,3216597,0.9984433859759242,1509830,1520960,0.9926822533136966,141780,177263,0.7998285034101871,5665,6736,0.8410035629453682,0.907989426411294,0.7998285034101871,0.10780316473728133
random_forest,fixed_threshold,0.94,,1175,22504,0.052212939921791685,1175,9315,0.1261406333870102,0,13149,0.0,0,40,0.0,3211331,3216597,0.9983628660973072,1508943,1520960,0.9920990690090469,139251,177263,0.7855615667116093,5644,6736,0.8378859857482185,0.9034773718915454,0.7855615667116093,0.09558241320173617
random_forest,fixed_threshold,0.95,,1057,22504,0.04696942765730537,1057,9315,0.1134728931830381,0,13149,0.0,0,40,0.0,3210948,3216597,0.9982437961609738,1508019,1520960,0.9914915579633915,135601,177263,0.7649706932636816,5626,6736,0.8352137767220903,0.8974799560275343,0.7649706932636816,0.0861164342693523
random_forest,fixed_threshold,0.97,,758,22504,0.03368290081763242,758,9315,0.08137412775093934,0,13149,0.0,0,40,0.0,3205574,3216597,0.9965730864015604,1504481,1520960,0.9891653955396592,123004,177263,0.6939067938599708,5569,6736,0.8267517814726841,0.8765992643184687,0.6939067938599708,0.060621061450274294
random_forest,fixed_threshold,0.98,,618,22504,0.02746178457163171,618,9315,0.06634460547504026,0,13149,0.0,0,40,0.0,3191370,3216597,0.9921572394676734,1494298,1520960,0.9824702819272039,111944,177263,0.6315136266451544,5510,6736,0.8179928741092637,0.8560335055373238,0.6315136266451544,0.04931076519351356
random_forest,fixed_threshold,0.99,,464,22504,0.020618556701030927,464,9315,0.04981213097155126,0,13149,0.0,0,40,0.0,3105537,3216597,0.9654728273389548,1458255,1520960,0.9587727487902378,96430,177263,0.543993952488675,5407,6736,0.8027019002375297,0.8177353572138493,0.543993952488675,0.03651784185648802
random_forest,fixed_threshold,0.995,,246,22504,0.010931389975115535,246,9315,0.02640901771336554,0,13149,0.0,0,40,0.0,2299793,3216597,0.7149770393990916,1234877,1520960,0.811906296023564,69623,177263,0.3927666800178266,5197,6736,0.7715261282660333,0.6727940359266289,0.3927666800178266,0.018955539858839392
