model_id,point_type,threshold,fpr_target,benign_fp,benign_support,benign_fpr,owltron_interaction_fp,owltron_interaction_support,owltron_interaction_fpr,profiling_idle_fp,profiling_idle_support,profiling_idle_fpr,owltron_power_fp,owltron_power_support,owltron_power_fpr,ddos_tcp_tp,ddos_tcp_support,ddos_tcp_recall,dos_tcp_tp,dos_tcp_support,dos_tcp_recall,mqtt_publish_tp,mqtt_publish_support,mqtt_publish_recall,recon_os_scan_tp,recon_os_scan_support,recon_os_scan_recall,macro_attack_group_recall,min_attack_group_recall,macro_benign_pcap_fpr
hgb,fpr_target,0.9358900785446167,0.01,211,22504,0.009376110913615357,208,9315,0.022329575952764358,3,13149,0.00022815423226100844,0,40,0.0,3212298,3216597,0.9986634943699817,1517698,1520960,0.9978553019145803,175352,177263,0.9892194084495919,5815,6736,0.8632719714964371,0.9622525440576477,0.8632719714964371,0.01504965417822653
hgb,fpr_target,0.9389187097549438,0.005,76,22504,0.0033771773906861,73,9315,0.007836822329575954,3,13149,0.00022815423226100844,0,40,0.0,3212282,3216597,0.998658520168986,1517681,1520960,0.9978441247633074,175296,177263,0.988903493678884,5813,6736,0.8629750593824228,0.9620952994984,0.8629750593824228,0.005311878738414524
hgb,fpr_target,0.9416398406028748,0.0025,57,22504,0.002532883043014575,54,9315,0.005797101449275362,3,13149,0.00022815423226100844,0,40,0.0,3212262,3216597,0.9986523024177415,1517659,1520960,0.9978296602146013,175112,177263,0.9878654880037007,5812,6736,0.8628266033254157,0.9617935134903648,0.8628266033254157,0.004026181701532548
hgb,fpr_target,0.9494479298591614,0.001,23,22504,0.0010220405261286882,20,9315,0.0021470746108427268,3,13149,0.00022815423226100844,0,40,0.0,3212221,3216597,0.9986395560276902,1517566,1520960,0.9977685146223438,174830,177263,0.9862746314797787,5801,6736,0.8611935866983373,0.9609690722070374,0.8611935866983373,0.0017243463160274194
hgb,fpr_target,0.9643503427505493,0.0005,12,22504,0.0005332385353714896,9,9315,0.000966183574879227,3,13149,0.00022815423226100844,0,40,0.0,3212095,3216597,0.9986003841948494,1517266,1520960,0.9975712707763518,173601,177263,0.9793414305297777,5779,6736,0.8579275534441805,0.9583601597362899,0.8579275534441805,0.000684951809943852
adaboost,fpr_target,0.5448256134986877,0.01,202,22504,0.00897618201208674,88,9315,0.009447128287707997,112,13149,0.008517758004410982,2,40,0.05,3212900,3216597,0.998850648682443,1517875,1520960,0.9979716757837156,172082,177263,0.9707722423743251,5690,6736,0.8447149643705463,0.9530773828027576,0.8447149643705463,0.015981629554199024
adaboost,fpr_target,0.563359797000885,0.005,89,22504,0.003954852470671881,71,9315,0.00762211486849168,18,13149,0.0013689253935660506,0,40,0.0,3212786,3216597,0.998815207500349,1517658,1520960,0.9978290027351147,128418,177263,0.7244489825851983,5647,6736,0.8383313539192399,0.8898561366849754,0.7244489825851983,0.009090682297367014
adaboost,fpr_target,0.5652185678482056,0.0025,43,22504,0.0019107714184145041,25,9315,0.0026838432635534087,18,13149,0.0013689253935660506,0,40,0.0,3212776,3216597,0.9988120986247266,1517655,1520960,0.9978270302966548,128346,177263,0.7240428064514309,5647,6736,0.8383313539192399,0.8897533223230131,0.7240428064514309,0.0018852706870043155
adaboost,fpr_target,0.5766248106956482,0.001,23,22504,0.0010220405261286882,10,9315,0.0010735373054213634,13,13149,0.0009886683397977033,0,40,0.0,3212630,3216597,0.9987667090406414,1517445,1520960,0.9976889596044604,105703,177263,0.5963060537167937,5589,6736,0.8297209026128266,0.8556206562436804,0.5963060537167937,0.0007803330050067507
adaboost,fpr_target,0.6052549481391907,0.0005,9,22504,0.00039992890152861714,2,9315,0.00021470746108427267,7,13149,0.0005323598752756864,0,40,0.0,3211832,3216597,0.9985186207659834,1516203,1520960,0.9968723700820534,208,177263,0.0011733977197723158,5525,6736,0.8202197149643705,0.704196025883045,0.0011733977197723158,0.0001889732406281658
random_forest,fpr_target,1.0,0.01,246,22504,0.010931389975115535,246,9315,0.02640901771336554,0,13149,0.0,0,40,0.0,2299793,3216597,0.7149770393990916,1234877,1520960,0.811906296023564,69602,177263,0.39264821197881117,5197,6736,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.018955539858839392
random_forest,fpr_target,1.0,0.005,246,22504,0.010931389975115535,246,9315,0.02640901771336554,0,13149,0.0,0,40,0.0,2299793,3216597,0.7149770393990916,1234877,1520960,0.811906296023564,69602,177263,0.39264821197881117,5197,6736,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.018955539858839392
random_forest,fpr_target,1.0,0.0025,246,22504,0.010931389975115535,246,9315,0.02640901771336554,0,13149,0.0,0,40,0.0,2299793,3216597,0.7149770393990916,1234877,1520960,0.811906296023564,69602,177263,0.39264821197881117,5197,6736,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.018955539858839392
random_forest,fpr_target,1.0,0.001,246,22504,0.010931389975115535,246,9315,0.02640901771336554,0,13149,0.0,0,40,0.0,2299793,3216597,0.7149770393990916,1234877,1520960,0.811906296023564,69602,177263,0.39264821197881117,5197,6736,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.018955539858839392
random_forest,fpr_target,1.0,0.0005,246,22504,0.010931389975115535,246,9315,0.02640901771336554,0,13149,0.0,0,40,0.0,2299793,3216597,0.7149770393990916,1234877,1520960,0.811906296023564,69602,177263,0.39264821197881117,5197,6736,0.7715261282660333,0.6727644189168751,0.39264821197881117,0.018955539858839392
