pcap_id,modeling_group_key,binary_label,benign_category,row_count,tp,fp,tn,fn,recall,fpr,specificity,attack_score_mean,attack_score_p95,attack_score_p99,max_attack_score
Idle-d722d61af6fa2e4f,benign|singleton|Idle,BENIGN,profiling_idle,13149,0,11,13138,0,,0.0008365655182903642,0.9991634344817096,0.01682485349199257,0.09000000357627869,0.23000000417232513,0.8899999856948853
MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2,MQTT|MQTT_DoS_Publish_Flood,ATTACK,,177263,177013,0,0,250,0.9985896662021967,,,0.9579878521048701,1.0,1.0,1.0
Owltron_Camera_LAN_MIC-513871f21444e330,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1555,0,1115,440,0,,0.7170418006430869,0.2829581993569132,0.6390160788772957,0.9900000095367432,1.0,1.0
Owltron_Camera_LAN_PHOTO-69a017e92848fbf2,benign|device|Owltron_Camera,BENIGN,profiling_interaction,351,0,152,199,0,,0.43304843304843305,0.5669515669515669,0.5005128203899177,0.9750000238418579,1.0,1.0
Owltron_Camera_LAN_RECORDING-ca11ebd976e95b7a,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1465,0,1072,393,0,,0.731740614334471,0.26825938566552904,0.6417883969105959,0.9800000190734863,1.0,1.0
Owltron_Camera_LAN_WATCH-cda5a932525e6361,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1223,0,823,400,0,,0.6729354047424366,0.3270645952575634,0.6094439902562931,0.9790000200271592,1.0,1.0
Owltron_Camera_Power-e29ebcb4aba84f5c,benign|device|Owltron_Camera,BENIGN,profiling_power,40,0,0,40,0,,0.0,1.0,0.08299999977461994,0.3020000115036963,0.34609999775886535,0.3499999940395355
Owltron_Camera_WAN_MIC-7fcce3ac94583d03,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1491,0,1041,450,0,,0.6981891348088531,0.30181086519114686,0.6288866542272225,0.9900000095367432,1.0,1.0
Owltron_Camera_WAN_PHOTO-5c62c1a67a91c873,benign|device|Owltron_Camera,BENIGN,profiling_interaction,226,0,105,121,0,,0.4646017699115044,0.5353982300884956,0.5066814166947012,0.9675000160932541,0.9975000023841858,1.0
Owltron_Camera_WAN_RECORDING-3648d530c3ad1085,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1604,0,1207,397,0,,0.7524937655860349,0.24750623441396508,0.646452618438862,0.9800000190734863,1.0,1.0
Owltron_Camera_WAN_WATCH-e3699111318bff69,benign|device|Owltron_Camera,BENIGN,profiling_interaction,1400,0,989,411,0,,0.7064285714285714,0.2935714285714286,0.6350642864299672,0.9900000095367432,1.0,1.0
Recon-OS_Scan_train-374d28e87069ff50,Recon|OS_Scan,ATTACK,,6736,6042,0,0,694,0.8969714964370546,,,0.8948797513396234,1.0,1.0,1.0
TCP_IP-DDoS-TCP1_train-4bd6e516680531ed,DDoS|DDoS_TCP,ATTACK,,808944,808935,0,0,9,0.9999888743843826,,,0.9958706327017882,1.0,1.0,1.0
TCP_IP-DDoS-TCP2_train-eb9fb6bc59c007af,DDoS|DDoS_TCP,ATTACK,,788029,786099,0,0,1930,0.9975508515549555,,,0.9942854526923216,1.0,1.0,1.0
TCP_IP-DDoS-TCP3_train-168296df72c3c541,DDoS|DDoS_TCP,ATTACK,,815984,815830,0,0,154,0.9998112708092316,,,0.9962220984027825,1.0,1.0,1.0
TCP_IP-DDoS-TCP4_train-c56180c095ed3093,DDoS|DDoS_TCP,ATTACK,,803640,803142,0,0,498,0.9993803195460654,,,0.9973569842080078,1.0,1.0,1.0
TCP_IP-DoS-TCP1_train-6a08fbf1e5b3072a,DoS|DoS_TCP,ATTACK,,381507,381215,0,0,292,0.9992346143058974,,,0.993425553668554,1.0,1.0,1.0
TCP_IP-DoS-TCP2_train-8853e4b749af42d2,DoS|DoS_TCP,ATTACK,,381940,381544,0,0,396,0.9989631879352778,,,0.9973860305328375,1.0,1.0,1.0
TCP_IP-DoS-TCP3_train-d43deb6bda91d593,DoS|DoS_TCP,ATTACK,,383711,383646,0,0,65,0.9998306016767828,,,0.9970417169790508,1.0,1.0,1.0
TCP_IP-DoS-TCP4_train-ee50fb6ee9902745,DoS|DoS_TCP,ATTACK,,373802,373170,0,0,632,0.9983092653329838,,,0.995916614469674,1.0,1.0,1.0
