config_id,label,mean_min_supported_family_recall,std_min_supported_family_recall,range_min_supported_family_recall,mean_recon_recall,std_recon_recall,range_recon_recall,mean_mqtt_recall,std_mqtt_recall,range_mqtt_recall,mean_macro_attack_family_recall,std_macro_attack_family_recall,range_macro_attack_family_recall,mean_benign_fpr,n_folds_primary_reachable,all_folds_primary_reachable,params_json
H0,baseline,0.511749685704116,0.15295570593478527,0.3555387387387387,0.7232386341274456,0.1524098580093789,0.3543565268963792,0.7416928292376862,0.31364159774136713,0.6966333333333334,0.8558231436190606,0.03629457581888549,0.0875500952954521,0.0024368523380315834,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}"
H1,smaller_trees,0.37751141141141137,0.28541761188362835,0.6911009009009009,0.7398132771755662,0.1534739422029338,0.36691829387857844,0.7878218925598922,0.24852526626444602,0.5575666666666667,0.7152712924338646,0.22710913863274204,0.5085307317184086,0.0024890529973660654,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 20, ""random_state"": 42}"
H2,larger_trees,0.5311115475659779,0.161044838827309,0.385290990990991,0.7369257227163023,0.14594122888250752,0.35149887374403055,0.7473304325821468,0.3077518406951702,0.6854,0.8606418166023903,0.039200208395683965,0.09566827415494805,0.002493068432699487,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 63, ""min_samples_leaf"": 20, ""random_state"": 42}"
H3,larger_leaves,0.5394613974158278,0.12287021267039143,0.2926738738738739,0.7284625801667158,0.1535147583160069,0.3598932298790547,0.7659318559191893,0.2793221950278268,0.6235999999999999,0.8631374979103653,0.028734419555731545,0.07034147334469443,0.002468975820698957,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50, ""random_state"": 42}"
H4,strongly_larger_leaves,0.5111577938122241,0.11527165949506347,0.25596306306306305,0.7075175862354744,0.16318000983083392,0.35786905889614107,0.7580342665099816,0.2907873435914387,0.6486999999999999,0.8556407409641418,0.025788896575102103,0.061525787997481096,0.002485037562032644,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 100, ""random_state"": 42}"
H5,no_l2,0.5478208568752873,0.11428852964578513,0.2743522522522523,0.7278522851065191,0.15067633131713878,0.3546839663200858,0.7739008180894836,0.2696820793966833,0.6032333333333333,0.8650174424656673,0.027489803022711368,0.06733593879008537,0.0024890529973660654,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 0.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}"
H6,more_l2,0.5375439799984104,0.09105777187665005,0.2105882882882883,0.7136641820186124,0.16051793557635252,0.3594169543536633,0.7783664520915012,0.2612755855100861,0.5856000000000001,0.8626659918608617,0.02032790314265804,0.049631759625546445,0.002460944950032114,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 5.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}"
H7,strong_l2,0.5342669019998134,0.07848447995449417,0.174272972972973,0.7071670448824711,0.16647722397881684,0.36127269562150555,0.7827023565136909,0.2554018217202964,0.5729,0.8632451281268182,0.016689357782827277,0.039811570133184926,0.0024970838680329088,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 10.0, ""learning_rate"": 0.1, ""max_features"": 1.0, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}"
H8,slower_boosting,0.5501908268452572,0.10570396100975056,0.25372882882882886,0.7276043590236224,0.154353668241977,0.36069694482815273,0.7785637659154804,0.2632865591082812,0.5903,0.8661698090125535,0.024676761733999762,0.060428215843376876,0.0024890529973660654,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_features"": 1.0, ""max_iter"": 400, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}"
H9,faster_boosting,0.5116758118302422,0.1556779854852674,0.3625171171171171,0.7245135963552567,0.1521218911324033,0.35480303520143364,0.7407895464803088,0.31559817088407116,0.7014666666666667,0.8559230079311136,0.03692201742226927,0.08905976741241672,0.002460944950032114,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.15, ""max_features"": 1.0, ""max_iter"": 150, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}"
H10,feature_subsampling,0.5027968328512632,0.15242577946878183,0.3486135135135135,0.7192452006153481,0.15738826549822738,0.35926811825197835,0.738675313109884,0.3185490552731872,0.7072333333333334,0.853756517320197,0.03527844591365332,0.08460692072106113,0.0024970838680329088,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.1, ""max_features"": 0.8, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 20, ""random_state"": 42}"
H11,regularized_combination,0.3160475975975976,0.23644041874888835,0.5753094594594594,0.7014256307329099,0.16859466550666855,0.3598634626587177,0.7600299964988544,0.28812757866332633,0.6429666666666667,0.7109264068079412,0.19784825982676926,0.4442931159789366,0.0024890529973660654,3,True,"{""class_weight"": null, ""early_stopping"": false, ""l2_regularization"": 5.0, ""learning_rate"": 0.1, ""max_features"": 0.8, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50, ""random_state"": 42}"
