config_id,label,fold_id,operating_point,fpr_target,target_reached,threshold,benign_fp,benign_support,benign_fpr,ddos_recall,dos_recall,mqtt_recall,recon_recall,spoof_recall,macro_attack_family_recall,min_supported_family_recall,supported_families_present,fit_seconds,train_rows,val_rows
H0,baseline,0,primary,0.0025,True,0.9808829426765442,104,41622,0.002498678583441449,0.9660666666666666,0.9164333333333333,0.9965,0.5799769850402762,0.02148528724894909,0.8647442462600691,0.5799769850402762,DDoS|DoS|MQTT|Recon,7.519964249804616,505391,198914
H0,baseline,0,secondary,0.001,True,0.993057131767273,41,41622,0.0009850559800105713,0.7157666666666667,0.0026333333333333334,0.9954666666666667,0.5776754890678941,0.015413358243811303,0.5728855389336402,0.0026333333333333334,DDoS|DoS|MQTT|Recon,7.519964249804616,505391,198914
H0,baseline,1,primary,0.0025,True,0.9905573129653931,216,86435,0.002498987678602418,0.9991166666666667,0.9973166666666666,0.9287118210463919,0.6554054054054054,,0.8951376399462826,0.6554054054054054,DDoS|DoS|MQTT|Recon,6.738666833378375,465521,238784
H0,baseline,1,secondary,0.001,True,0.9955320358276367,85,86435,0.0009833979290796552,0.9987,0.99715,0.9269647146912926,0.5844594594594594,,0.8768185435376881,0.5844594594594594,DDoS|DoS|MQTT|Recon,6.738666833378375,465521,238784
H0,baseline,2,primary,0.0025,True,0.7956897020339966,192,83013,0.0023128907520508835,0.9995,0.99665,0.29986666666666667,0.9343335119366554,,0.8075875446508305,0.29986666666666667,DDoS|DoS|MQTT|Recon,7.418761749751866,437698,266607
H0,baseline,2,secondary,0.001,True,0.8456775546073914,83,83013,0.0009998433980219965,0.99945,0.9965666666666667,0.26916666666666667,0.9316246948859915,,0.7992020070548312,0.26916666666666667,DDoS|DoS|MQTT|Recon,7.418761749751866,437698,266607
H1,smaller_trees,0,primary,0.0025,True,0.9727997183799744,104,41622,0.002498678583441449,0.0014666666666666667,0.006083333333333333,0.9960666666666667,0.5799769850402762,0.021173906274326637,0.39589841292673567,0.0014666666666666667,DDoS|DoS|MQTT|Recon,5.093570375349373,505391,198914
H1,smaller_trees,0,secondary,0.001,True,0.9890859723091125,41,41622,0.0009850559800105713,0.00055,0.0051,0.9945,0.5765247410817032,0.01385645337069905,0.3941686852704258,0.00055,DDoS|DoS|MQTT|Recon,5.093570375349373,505391,198914
H1,smaller_trees,1,primary,0.0025,True,0.9753230810165405,216,86435,0.002498987678602418,0.9989666666666667,0.9972833333333333,0.9288990110130098,0.6925675675675675,,0.9044291446451442,0.6925675675675675,DDoS|DoS|MQTT|Recon,5.725292374845594,465521,238784
H1,smaller_trees,1,secondary,0.001,True,0.9881631135940552,86,86435,0.0009949673164805924,0.9987166666666667,0.9972,0.9265591364302873,0.6621621621621622,,0.896159491314779,0.6621621621621622,DDoS|DoS|MQTT|Recon,5.725292374845594,465521,238784
H1,smaller_trees,2,primary,0.0025,True,0.5119863152503967,205,83013,0.002469492730054329,0.99955,0.997,0.4385,0.9468952789188546,,0.8454863197297137,0.4385,DDoS|DoS|MQTT|Recon,5.035554708912969,437698,266607
H1,smaller_trees,2,secondary,0.001,True,0.605629563331604,79,83013,0.0009516581740209365,0.99955,0.9968,0.411,0.9425492647496577,,0.8374748161874145,0.411,DDoS|DoS|MQTT|Recon,5.035554708912969,437698,266607
H2,larger_trees,0,primary,0.0025,True,0.9814634919166565,104,41622,0.002498678583441449,0.96615,0.9159833333333334,0.9994333333333333,0.5799769850402762,0.02382064455861747,0.8653859129267357,0.5799769850402762,DDoS|DoS|MQTT|Recon,12.737046167254448,505391,198914
H2,larger_trees,0,secondary,0.001,True,0.9915635585784912,41,41622,0.0009850559800105713,0.9658666666666667,0.91595,0.9985,0.5788262370540852,0.01883854896465826,0.864785725930188,0.5788262370540852,DDoS|DoS|MQTT|Recon,12.737046167254448,505391,198914
H2,larger_trees,1,primary,0.0025,True,0.9958102107048035,216,86435,0.002498987678602418,0.9991166666666667,0.99745,0.9285246310797741,0.6993243243243243,,0.9061039055176914,0.6993243243243243,DDoS|DoS|MQTT|Recon,13.788356999866664,465521,238784
H2,larger_trees,1,secondary,0.001,True,0.9980360865592957,86,86435,0.0009949673164805924,0.9989333333333333,0.9971666666666666,0.9263095498081303,0.625,,0.8868523874520325,0.625,DDoS|DoS|MQTT|Recon,13.788356999866664,465521,238784
H2,larger_trees,2,primary,0.0025,True,0.8612378835678101,206,83013,0.002481539036054594,0.9995,0.9967333333333334,0.31403333333333333,0.9314758587843067,,0.8104356313627433,0.31403333333333333,DDoS|DoS|MQTT|Recon,13.652583417017013,437698,266607
H2,larger_trees,2,secondary,0.001,True,0.9229308366775513,80,83013,0.0009637044800212015,0.99945,0.99655,0.257,0.9279335595642079,,0.795233389891052,0.257,DDoS|DoS|MQTT|Recon,13.652583417017013,437698,266607
H3,larger_leaves,0,primary,0.0025,True,0.9859885573387146,104,41622,0.002498678583441449,0.9658333333333333,0.9159666666666667,0.9964666666666666,0.5799769850402762,0.02086252529970419,0.8645609129267358,0.5799769850402762,DDoS|DoS|MQTT|Recon,10.453675457742065,505391,198914
H3,larger_leaves,0,secondary,0.001,True,0.9946871399879456,41,41622,0.0009850559800105713,0.71575,0.002533333333333333,0.9955333333333334,0.5765247410817032,0.014167834345321501,0.5725853519370925,0.002533333333333333,DDoS|DoS|MQTT|Recon,10.453675457742065,505391,198914
H3,larger_leaves,1,primary,0.0025,True,0.991226077079773,216,86435,0.002498987678602418,0.99915,0.9972333333333333,0.9284622344242348,0.6655405405405406,,0.8975965270745272,0.6655405405405406,DDoS|DoS|MQTT|Recon,8.592958082910627,465521,238784
H3,larger_leaves,1,secondary,0.001,True,0.9960697889328003,86,86435,0.0009949673164805924,0.9989333333333333,0.997,0.9255295916138895,0.6182432432432432,,0.8849265420476164,0.6182432432432432,DDoS|DoS|MQTT|Recon,8.592958082910627,465521,238784
H3,larger_leaves,2,primary,0.0025,True,0.7092931270599365,200,83013,0.002409261200053004,0.9995333333333334,0.99675,0.3728666666666667,0.9398702149193309,,0.8272550537298328,0.3728666666666667,DDoS|DoS|MQTT|Recon,8.86199020780623,437698,266607
H3,larger_leaves,2,secondary,0.001,True,0.8006038665771484,81,83013,0.0009757507860214665,0.9995,0.9966166666666667,0.32353333333333334,0.9352860629874382,,0.8137340157468596,0.32353333333333334,DDoS|DoS|MQTT|Recon,8.86199020780623,437698,266607
H4,strongly_larger_leaves,0,primary,0.0025,True,0.9749874472618103,104,41622,0.002498678583441449,0.9617333333333333,0.91645,0.9974666666666666,0.5799769850402762,0.023353573096683792,0.863906746260069,0.5799769850402762,DDoS|DoS|MQTT|Recon,9.366210625041276,505391,198914
H4,strongly_larger_leaves,0,secondary,0.001,True,0.9913420081138611,41,41622,0.0009850559800105713,0.7157833333333333,0.0026,0.9960333333333333,0.5776754890678941,0.01712595360423478,0.5730230389336401,0.0026,DDoS|DoS|MQTT|Recon,9.366210625041276,505391,198914
H4,strongly_larger_leaves,1,primary,0.0025,True,0.9910140037536621,216,86435,0.002498987678602418,0.9991,0.9973833333333333,0.9278694661966118,0.6047297297297297,,0.8822706323149188,0.6047297297297297,DDoS|DoS|MQTT|Recon,9.03090712474659,465521,238784
H4,strongly_larger_leaves,1,secondary,0.001,True,0.9961214065551758,86,86435,0.0009949673164805924,0.9989166666666667,0.9971166666666667,0.9253735999750413,0.5202702702702703,,0.8604193008946612,0.5202702702702703,DDoS|DoS|MQTT|Recon,9.03090712474659,465521,238784
H4,strongly_larger_leaves,2,primary,0.0025,True,0.7490672469139099,204,83013,0.002457446424054064,0.9995166666666667,0.99685,0.34876666666666667,0.9378460439364172,,0.8207448443174377,0.34876666666666667,DDoS|DoS|MQTT|Recon,7.356472499668598,437698,266607
H4,strongly_larger_leaves,2,secondary,0.001,True,0.7997058033943176,83,83013,0.0009998433980219965,0.9995,0.99665,0.3202333333333333,0.9348693219027208,,0.8128131638090136,0.3202333333333333,DDoS|DoS|MQTT|Recon,7.356472499668598,437698,266607
H5,no_l2,0,primary,0.0025,True,0.9752122163772583,104,41622,0.002498678583441449,0.9659333333333333,0.9161666666666667,0.9978,0.5799769850402762,0.02413202553323992,0.8649692462600691,0.5799769850402762,DDoS|DoS|MQTT|Recon,9.036757708061486,505391,198914
H5,no_l2,0,secondary,0.001,True,0.9884394407272339,41,41622,0.0009850559800105713,0.9658333333333333,0.9159666666666667,0.9968,0.5776754890678941,0.015880429705744978,0.8640688722669736,0.5776754890678941,DDoS|DoS|MQTT|Recon,9.036757708061486,505391,198914
