pcap_id,modeling_group_key,attack_family,binary_label,output_row_count,fold_id,role_in_fold
ARP_Spoofing_train-96f95da2dd4aca68,Spoofing|ARP_Spoofing,Spoofing,ATTACK,6423,0,validation_when_held_out
Active-75691db1b5d9bcb7,benign|singleton|Active,BENIGN,BENIGN,41622,0,validation_when_held_out
ActiveBroker-773ce2fbdc89f2e6,benign|singleton|ActiveBroker,BENIGN,BENIGN,79238,2,validation_when_held_out
Benign_train-afa71a594c44d5e9,benign|publisher|Benign_train,BENIGN,BENIGN,77427,1,validation_when_held_out
Blink_Camera_LAN_MIC-de6bc19993839f4f,benign|device|Blink_Camera,BENIGN,BENIGN,857,1,validation_when_held_out
Blink_Camera_LAN_WATCH-3f8bf69fb1069588,benign|device|Blink_Camera,BENIGN,BENIGN,751,1,validation_when_held_out
Blink_Camera_WAN_MIC-e15dc3ec7ec45279,benign|device|Blink_Camera,BENIGN,BENIGN,885,1,validation_when_held_out
Blink_Camera_WAN_WATCH-d368ff79b64700f1,benign|device|Blink_Camera,BENIGN,BENIGN,632,1,validation_when_held_out
Blink_Mini_Camera_Power-ae915edb988f5bdc,benign|device|Blink_Camera,BENIGN,BENIGN,15,1,validation_when_held_out
Ecobee_Camera_LAN_MIC-bd23bc998ec6fbae,benign|device|Ecobee_Camera,BENIGN,BENIGN,1547,1,validation_when_held_out
Ecobee_Camera_LAN_WATCH-86027c5a7abe11b1,benign|device|Ecobee_Camera,BENIGN,BENIGN,1464,1,validation_when_held_out
Ecobee_Camera_Power-670935afbd6dd632,benign|device|Ecobee_Camera,BENIGN,BENIGN,90,1,validation_when_held_out
Ecobee_Camera_WAN_MIC-9f00e38f021daf12,benign|device|Ecobee_Camera,BENIGN,BENIGN,1433,1,validation_when_held_out
Ecobee_Camera_WAN_WATCH-d8fd5b4e4a5384d9,benign|device|Ecobee_Camera,BENIGN,BENIGN,1334,1,validation_when_held_out
M1T_Camera_LAN_MIC-82292e094d4c92fc,benign|device|M1T_Camera,BENIGN,BENIGN,643,2,validation_when_held_out
M1T_Camera_LAN_PHOTO-5c311124058e65a8,benign|device|M1T_Camera,BENIGN,BENIGN,56,2,validation_when_held_out
M1T_Camera_LAN_PRECORDING-52238a5ec47bd101,benign|device|M1T_Camera,BENIGN,BENIGN,338,2,validation_when_held_out
M1T_Camera_LAN_WATCH-be56cf109f9deaa9,benign|device|M1T_Camera,BENIGN,BENIGN,473,2,validation_when_held_out
M1T_Camera_Power-09122daa7d244f73,benign|device|M1T_Camera,BENIGN,BENIGN,13,2,validation_when_held_out
M1T_Camera_WAN_MIC-81f4bd71b5e6453b,benign|device|M1T_Camera,BENIGN,BENIGN,693,2,validation_when_held_out
M1T_Camera_WAN_PHOTO-3ed5188c39d7b60c,benign|device|M1T_Camera,BENIGN,BENIGN,229,2,validation_when_held_out
M1T_Camera_WAN_RECORDING-24eb271fd02aef20,benign|device|M1T_Camera,BENIGN,BENIGN,657,2,validation_when_held_out
M1T_Camera_WAN_WATCH-87c44d4b3f40c536,benign|device|M1T_Camera,BENIGN,BENIGN,629,2,validation_when_held_out
MQTT-DDoS-Connect_Flood_train-539423bcd3a46ba6,MQTT|MQTT_DDoS_Connect_Flood,MQTT,ATTACK,30000,0,validation_when_held_out
MQTT-DDoS-Publish_Flood_train-bd996c8b772b0e4c,MQTT|MQTT_DDoS_Publish_Flood,MQTT,ATTACK,30000,2,validation_when_held_out
MQTT-DoS-Connect_Flood_train-9ed64d06c26d4359,MQTT|MQTT_DoS_Connect_Flood,MQTT,ATTACK,30000,1,validation_when_held_out
MQTT-Malformed_Data_train-047bd795e609d53a,MQTT|MQTT_Malformed_Data,MQTT,ATTACK,2053,1,validation_when_held_out
Recon-Ping_Sweep_train-e08ccc2a81c89ea0,Recon|Ping_Sweep,Recon,ATTACK,296,1,validation_when_held_out
Recon-Port_Scan_train-3277498008f275af,Recon|Port_Scan,Recon,ATTACK,33594,2,validation_when_held_out
Recon-VulScan_train-dd134b38001a54ff,Recon|VulScan,Recon,ATTACK,869,0,validation_when_held_out
Singcall_LAN_PHYSICAL-015d084b26c99a8c,benign|device|Singcall,BENIGN,BENIGN,16,2,validation_when_held_out
Singcall_Power-2e7ddb9f29135c81,benign|device|Singcall,BENIGN,BENIGN,16,2,validation_when_held_out
Singcall_WAN_PHYSICAL-648acf97ea26a9fb,benign|device|Singcall,BENIGN,BENIGN,12,2,validation_when_held_out
TCP_IP-DDoS-ICMP1_train-52560d1b626f5c98,DDoS|DDoS_ICMP,DDoS,ATTACK,7607,1,validation_when_held_out
TCP_IP-DDoS-ICMP2_train-fe61766820005b0a,DDoS|DDoS_ICMP,DDoS,ATTACK,7603,1,validation_when_held_out
TCP_IP-DDoS-ICMP3_train-4fd5fc994ad0ad92,DDoS|DDoS_ICMP,DDoS,ATTACK,7404,1,validation_when_held_out
TCP_IP-DDoS-ICMP4_train-c9aeedc59b581cd1,DDoS|DDoS_ICMP,DDoS,ATTACK,7522,1,validation_when_held_out
TCP_IP-DDoS-ICMP5_train-4724735ee6467501,DDoS|DDoS_ICMP,DDoS,ATTACK,7611,1,validation_when_held_out
TCP_IP-DDoS-ICMP6_train-4538ea64f1e348f0,DDoS|DDoS_ICMP,DDoS,ATTACK,7449,1,validation_when_held_out
TCP_IP-DDoS-ICMP7_train-53ea8e2f1c5f3000,DDoS|DDoS_ICMP,DDoS,ATTACK,7259,1,validation_when_held_out
TCP_IP-DDoS-ICMP8_train-15c1ca3db9818fb4,DDoS|DDoS_ICMP,DDoS,ATTACK,7545,1,validation_when_held_out
TCP_IP-DDoS-SYN1_train-9270598c7ec08c19,DDoS|DDoS_SYN,DDoS,ATTACK,14918,2,validation_when_held_out
TCP_IP-DDoS-SYN2_train-84f7f6654a0c81a1,DDoS|DDoS_SYN,DDoS,ATTACK,15238,2,validation_when_held_out
TCP_IP-DDoS-SYN3_train-cb4d02ece5623b20,DDoS|DDoS_SYN,DDoS,ATTACK,15115,2,validation_when_held_out
TCP_IP-DDoS-SYN4_train-1f8cd468774497a0,DDoS|DDoS_SYN,DDoS,ATTACK,14729,2,validation_when_held_out
TCP_IP-DDoS-UDP1_train-e3823a133c7c569e,DDoS|DDoS_UDP,DDoS,ATTACK,7561,0,validation_when_held_out
TCP_IP-DDoS-UDP2_train-c29b03842b9c5b00,DDoS|DDoS_UDP,DDoS,ATTACK,7603,0,validation_when_held_out
TCP_IP-DDoS-UDP3_train-12fd00f6a441a65c,DDoS|DDoS_UDP,DDoS,ATTACK,7577,0,validation_when_held_out
TCP_IP-DDoS-UDP4_train-68f9dab91e62964a,DDoS|DDoS_UDP,DDoS,ATTACK,7568,0,validation_when_held_out
TCP_IP-DDoS-UDP5_train-3ef3823976c230ac,DDoS|DDoS_UDP,DDoS,ATTACK,7537,0,validation_when_held_out
TCP_IP-DDoS-UDP6_train-20f2f44028c0469f,DDoS|DDoS_UDP,DDoS,ATTACK,7418,0,validation_when_held_out
TCP_IP-DDoS-UDP7_train-3cc1cec95e30615c,DDoS|DDoS_UDP,DDoS,ATTACK,7250,0,validation_when_held_out
TCP_IP-DDoS-UDP8_train-214596633bc14c17,DDoS|DDoS_UDP,DDoS,ATTACK,7486,0,validation_when_held_out
TCP_IP-DoS-ICMP1_train-bb42fe5d34df6405,DoS|DoS_ICMP,DoS,ATTACK,15063,2,validation_when_held_out
TCP_IP-DoS-ICMP2_train-705c10e1a9476694,DoS|DoS_ICMP,DoS,ATTACK,13978,2,validation_when_held_out
TCP_IP-DoS-ICMP3_train-7b8e8c5c841bcd62,DoS|DoS_ICMP,DoS,ATTACK,15664,2,validation_when_held_out
TCP_IP-DoS-ICMP4_train-2063df179b821a12,DoS|DoS_ICMP,DoS,ATTACK,15295,2,validation_when_held_out
TCP_IP-DoS-SYN1_train-39759543872c0660,DoS|DoS_SYN,DoS,ATTACK,15129,1,validation_when_held_out
TCP_IP-DoS-SYN2_train-143bfea32194d333,DoS|DoS_SYN,DoS,ATTACK,15160,1,validation_when_held_out
TCP_IP-DoS-SYN3_train-d7c95d3330c6de73,DoS|DoS_SYN,DoS,ATTACK,14688,1,validation_when_held_out
TCP_IP-DoS-SYN4_train-6f58a2b6be91c88c,DoS|DoS_SYN,DoS,ATTACK,15023,1,validation_when_held_out
TCP_IP-DoS-UDP1_train-57283084e42b6cee,DoS|DoS_UDP,DoS,ATTACK,14500,0,validation_when_held_out
TCP_IP-DoS-UDP2_train-e7214b7f20307dd7,DoS|DoS_UDP,DoS,ATTACK,14868,0,validation_when_held_out
TCP_IP-DoS-UDP3_train-2a3160949fce0092,DoS|DoS_UDP,DoS,ATTACK,15466,0,validation_when_held_out
TCP_IP-DoS-UDP4_train-26a982778d5c9918,DoS|DoS_UDP,DoS,ATTACK,15166,0,validation_when_held_out
