pcap_path,pcap_id,modeling_group_key,modeling_split,binary_label,attack_family,attack_type,profiling_type,device,window_count,feature_parquet_path,selection_reason,benign_category,group_kind
data/raw/WiFI_and_MQTT/attacks/pcap/train/ARP_Spoofing_train.pcap,ARP_Spoofing_train-96f95da2dd4aca68,Spoofing|ARP_Spoofing,fit,ATTACK,Spoofing,ARP_Spoofing,,,6423,data/features/v1/train/ARP_Spoofing_train-96f95da2dd4aca68.parquet,spoofing_fit_only|no_independent_train_validation_group,,spoofing
data/raw/WiFI_and_MQTT/attacks/pcap/train/Benign_train.pcap,Benign_train-afa71a594c44d5e9,benign|publisher|Benign_train,fit,BENIGN,,,,,77427,data/features/v1/train/Benign_train-afa71a594c44d5e9.parquet,publisher_benign_fit_only,publisher_benign,publisher_benign
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Connect_Flood_train.pcap,MQTT-DDoS-Connect_Flood_train-539423bcd3a46ba6,MQTT|MQTT_DDoS_Connect_Flood,fit,ATTACK,MQTT,MQTT_DDoS_Connect_Flood,,,691837,data/features/v1/train/MQTT-DDoS-Connect_Flood_train-539423bcd3a46ba6.parquet,fit_remainder_after_lineage_holdout,,attack_lineage
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DDoS-Publish_Flood_train.pcap,MQTT-DDoS-Publish_Flood_train-bd996c8b772b0e4c,MQTT|MQTT_DDoS_Publish_Flood,fit,ATTACK,MQTT,MQTT_DDoS_Publish_Flood,,,110171,data/features/v1/train/MQTT-DDoS-Publish_Flood_train-bd996c8b772b0e4c.parquet,fit_remainder_after_lineage_holdout,,attack_lineage
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Connect_Flood_train.pcap,MQTT-DoS-Connect_Flood_train-9ed64d06c26d4359,MQTT|MQTT_DoS_Connect_Flood,fit,ATTACK,MQTT,MQTT_DoS_Connect_Flood,,,51077,data/features/v1/train/MQTT-DoS-Connect_Flood_train-9ed64d06c26d4359.parquet,fit_remainder_after_lineage_holdout,,attack_lineage
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Publish_Flood_train.pcap,MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2,MQTT|MQTT_DoS_Publish_Flood,validation,ATTACK,MQTT,MQTT_DoS_Publish_Flood,,,177263,data/features/v1/train/MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2.parquet,closest_group_to_target_validation_fraction|target=0.20|actual=0.171700|windows=177263,,attack_lineage
data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-Malformed_Data_train.pcap,MQTT-Malformed_Data_train-047bd795e609d53a,MQTT|MQTT_Malformed_Data,fit,ATTACK,MQTT,MQTT_Malformed_Data,,,2053,data/features/v1/train/MQTT-Malformed_Data_train-047bd795e609d53a.parquet,fit_remainder_after_lineage_holdout,,attack_lineage
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-OS_Scan_train.pcap,Recon-OS_Scan_train-374d28e87069ff50,Recon|OS_Scan,validation,ATTACK,Recon,OS_Scan,,,6736,data/features/v1/train/Recon-OS_Scan_train-374d28e87069ff50.parquet,closest_group_to_target_validation_fraction|target=0.20|actual=0.162333|windows=6736,,attack_lineage
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Ping_Sweep_train.pcap,Recon-Ping_Sweep_train-e08ccc2a81c89ea0,Recon|Ping_Sweep,fit,ATTACK,Recon,Ping_Sweep,,,296,data/features/v1/train/Recon-Ping_Sweep_train-e08ccc2a81c89ea0.parquet,fit_remainder_after_lineage_holdout,,attack_lineage
data/raw/WiFI_and_MQTT/attacks/pcap/train/Recon-Port_Scan_train.pcap,Recon-Port_Scan_train-3277498008f275af,Recon|Port_Scan,fit,ATTACK,Recon,Port_Scan,,,33594,data/features/v1/train/Recon-Port_Scan_train-3277498008f275af.parquet,fit_remainder_after_lineage_holdout,,attack_lineage
