plan_id,cap_mode,binary_label,category,attack_family,attack_type,modeling_group_key,pcap_count,windows_available,cap_per_pcap,cap_per_modeling_group,windows_after_cap,fraction_retained,fraction_of_attack_sample,attack_to_benign_ratio
fullish,per_pcap,ATTACK,DDoS_ICMP,DDoS,DDoS_ICMP,DDoS|DDoS_ICMP,8,6147552,50000,,400000,0.065067,0.223061,8.495926
fullish,per_pcap,ATTACK,DDoS_SYN,DDoS,DDoS_SYN,DDoS|DDoS_SYN,4,3206644,50000,,200000,0.062371,0.111530,8.495926
fullish,per_pcap,ATTACK,DDoS_UDP,DDoS,DDoS_UDP,DDoS|DDoS_UDP,8,6541281,50000,,400000,0.061150,0.223061,8.495926
fullish,per_pcap,ATTACK,DoS_ICMP,DoS,DoS_ICMP,DoS|DoS_ICMP,4,1664434,50000,,200000,0.120161,0.111530,8.495926
fullish,per_pcap,ATTACK,DoS_SYN,DoS,DoS_SYN,DoS|DoS_SYN,4,1766923,50000,,200000,0.113191,0.111530,8.495926
fullish,per_pcap,ATTACK,DoS_UDP,DoS,DoS_UDP,DoS|DoS_UDP,4,2266865,50000,,200000,0.088228,0.111530,8.495926
fullish,per_pcap,ATTACK,MQTT_DDoS_Connect_Flood,MQTT,MQTT_DDoS_Connect_Flood,MQTT|MQTT_DDoS_Connect_Flood,1,691837,50000,,50000,0.072271,0.027883,8.495926
fullish,per_pcap,ATTACK,MQTT_DDoS_Publish_Flood,MQTT,MQTT_DDoS_Publish_Flood,MQTT|MQTT_DDoS_Publish_Flood,1,110171,50000,,50000,0.453840,0.027883,8.495926
fullish,per_pcap,ATTACK,MQTT_DoS_Connect_Flood,MQTT,MQTT_DoS_Connect_Flood,MQTT|MQTT_DoS_Connect_Flood,1,51077,50000,,50000,0.978914,0.027883,8.495926
fullish,per_pcap,ATTACK,MQTT_Malformed_Data,MQTT,MQTT_Malformed_Data,MQTT|MQTT_Malformed_Data,1,2053,50000,,2053,1.000000,0.001145,8.495926
fullish,per_pcap,ATTACK,Ping_Sweep,Recon,Ping_Sweep,Recon|Ping_Sweep,1,296,,,296,1.000000,0.000165,8.495926
fullish,per_pcap,ATTACK,Port_Scan,Recon,Port_Scan,Recon|Port_Scan,1,33594,,,33594,1.000000,0.018734,8.495926
fullish,per_pcap,ATTACK,VulScan,Recon,VulScan,Recon|VulScan,1,869,,,869,1.000000,0.000485,8.495926
fullish,per_pcap,ATTACK,ARP_Spoofing,Spoofing,ARP_Spoofing,Spoofing|ARP_Spoofing,1,6423,,,6423,1.000000,0.003582,8.495926
fullish,per_pcap,BENIGN,profiling_interaction,,,benign|device|Blink_Camera,4,3125,,,3125,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_power,,,benign|device|Blink_Camera,1,15,,,15,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_interaction,,,benign|device|Ecobee_Camera,4,5778,,,5778,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_power,,,benign|device|Ecobee_Camera,1,90,,,90,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_interaction,,,benign|device|M1T_Camera,8,3718,,,3718,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_power,,,benign|device|M1T_Camera,1,13,,,13,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_interaction,,,benign|device|Singcall,2,28,,,28,1.000000,,8.495926
fullish,per_pcap,BENIGN,profiling_power,,,benign|device|Singcall,1,16,,,16,1.000000,,8.495926
