pcap_id,pcap_path,binary_label,attack_family,attack_type,benign_category,modeling_group_key,status,total_windows,attack_windows,benign_windows,pcap_attack_score,max_window_attack_score,mean_window_attack_score,K1_R0.005,K1_R0.01,K1_R0.025,K1_R0.05,K3_R0.005,K3_R0.01,K3_R0.025,K3_R0.05,K5_R0.005,K5_R0.01,K5_R0.025,K5_R0.05
Idle-d722d61af6fa2e4f,data/raw/WiFI_and_MQTT/profiling/PCAP/Idle/Idle.pcap,BENIGN,,,profiling_idle,benign|singleton|Idle,OK,13149,4,13145,0.0003042056,0.9979671836,0.0348360157,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
MQTT-DoS-Publish_Flood_train-710a8c2e0fd3ccf2,data/raw/WiFI_and_MQTT/attacks/pcap/train/MQTT-DoS-Publish_Flood_train.pcap,ATTACK,MQTT,MQTT_DoS_Publish_Flood,,MQTT|MQTT_DoS_Publish_Flood,OK,177263,176001,1262,0.9928806350,0.9999613762,0.9952052748,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK
Owltron_Camera_LAN_MIC-513871f21444e330,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_MIC.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,1555,3,1552,0.0019292605,0.9732541442,0.5726797401,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Owltron_Camera_LAN_PHOTO-69a017e92848fbf2,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_PHOTO.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,351,0,351,0.0000000000,0.9347961545,0.4763043916,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Owltron_Camera_LAN_RECORDING-ca11ebd976e95b7a,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_RECORDING.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,1465,2,1463,0.0013651877,0.9732541442,0.5543733166,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Owltron_Camera_LAN_WATCH-cda5a932525e6361,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_LAN_WATCH.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,1223,6,1217,0.0049059689,0.9800967574,0.5456699942,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Owltron_Camera_Power-e29ebcb4aba84f5c,data/raw/WiFI_and_MQTT/profiling/PCAP/Power/Owltron_Camera_Power.pcap,BENIGN,,,profiling_power,benign|device|Owltron_Camera,OK,40,0,40,0.0000000000,0.9058380723,0.1762345530,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Owltron_Camera_WAN_MIC-7fcce3ac94583d03,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_MIC.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,1491,2,1489,0.0013413816,0.9605887532,0.5656437690,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Owltron_Camera_WAN_PHOTO-5c62c1a67a91c873,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_PHOTO.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,226,0,226,0.0000000000,0.9362954497,0.4743340173,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
Owltron_Camera_WAN_RECORDING-3648d530c3ad1085,data/raw/WiFI_and_MQTT/profiling/PCAP/Interactions/Owltron_Camera/Owltron_Camera_WAN_RECORDING.pcap,BENIGN,,,profiling_interaction,benign|device|Owltron_Camera,OK,1604,0,1604,0.0000000000,0.9362954497,0.5471840592,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN,BENIGN
