policy_id,K,R,benign_pcap_scored,benign_pcap_false_positives,benign_pcap_fpr,attack_pcap_scored,attack_pcap_true_positives,attack_pcap_recall,macro_family_recall,min_family_recall,family_recall_DDoS,family_recall_DoS,family_recall_MQTT,family_recall_Recon,rank,recommended,freeze_status
K1_R0.005,1,0.0050000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1,True,pending_human_review
K1_R0.01,1,0.0100000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,2,False,pending_human_review
K1_R0.025,1,0.0250000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,3,False,pending_human_review
K1_R0.05,1,0.0500000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,4,False,pending_human_review
K3_R0.005,3,0.0050000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,5,False,pending_human_review
K3_R0.01,3,0.0100000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,6,False,pending_human_review
K3_R0.025,3,0.0250000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,7,False,pending_human_review
K3_R0.05,3,0.0500000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,8,False,pending_human_review
K5_R0.005,5,0.0050000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,9,False,pending_human_review
K5_R0.01,5,0.0100000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,10,False,pending_human_review
K5_R0.025,5,0.0250000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,11,False,pending_human_review
K5_R0.05,5,0.0500000000,10,0,0.0000000000,10,10,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,12,False,pending_human_review
